trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Sp,18,Sp,9,soundFiles/Spanish/lp300/common_voice_es_18326665.wav,soundFiles/Spanish/lp300/common_voice_es_18319766.wav,236938,Fri Jul 16 2021 01:59:03 GMT-0400 (Eastern Daylight Time),2086.0,2
2,trial,Sp,22,Ja,3,soundFiles/Spanish/lp300/common_voice_es_18337707.wav,soundFiles/Japanese/lp300/common_voice_ja_19486649.wav,249384,Fri Jul 16 2021 01:59:15 GMT-0400 (Eastern Daylight Time),1711.0,5
3,trial,It,18,En,2,soundFiles/Italian/lp300/common_voice_it_17419421.wav,soundFiles/English/lp300/common_voice_en_13705.wav,256962,Fri Jul 16 2021 01:59:23 GMT-0400 (Eastern Daylight Time),1008.0,4
4,trial,Du,44,En,37,soundFiles/Dutch/lp300/common_voice_nl_17695706.wav,soundFiles/English/lp300/common_voice_en_33114.wav,267253,Fri Jul 16 2021 01:59:33 GMT-0400 (Eastern Daylight Time),737.0,6
5,trial,Ta,17,It,40,soundFiles/Tamil/lp300/common_voice_ta_19305358.wav,soundFiles/Italian/lp300/common_voice_it_17434159.wav,278750,Fri Jul 16 2021 01:59:44 GMT-0400 (Eastern Daylight Time),601.0,1
6,trial,Ja,24,Ja,44,soundFiles/Japanese/lp300/common_voice_ja_20468758.wav,soundFiles/Japanese/lp300/common_voice_ja_22467415.wav,287263,Fri Jul 16 2021 01:59:53 GMT-0400 (Eastern Daylight Time),1922.0,6
7,trial,Ge,33,Ta,20,soundFiles/German/lp300/common_voice_de_18228262.wav,soundFiles/Tamil/lp300/common_voice_ta_19340119.wav,297189,Fri Jul 16 2021 02:00:03 GMT-0400 (Eastern Daylight Time),966.0,7
8,trial,Sp,31,Ge,25,soundFiles/Spanish/lp300/common_voice_es_18348888.wav,soundFiles/German/lp300/common_voice_de_17884551.wav,307498,Fri Jul 16 2021 02:00:13 GMT-0400 (Eastern Daylight Time),824.0,1
9,trial,Du,45,Ta,32,soundFiles/Dutch/lp300/common_voice_nl_17695804.wav,soundFiles/Tamil/lp300/common_voice_ta_19533166.wav,318880,Fri Jul 16 2021 02:00:25 GMT-0400 (Eastern Daylight Time),482.0,1
10,trial,Ta,15,Sp,11,soundFiles/Tamil/lp300/common_voice_ta_19303060.wav,soundFiles/Spanish/lp300/common_voice_es_18321002.wav,329458,Fri Jul 16 2021 02:00:35 GMT-0400 (Eastern Daylight Time),1488.0,5
11,trial,Ta,1,Ge,23,soundFiles/Tamil/lp300/common_voice_ta_19083403.wav,soundFiles/German/lp300/common_voice_de_17828232.wav,339294,Fri Jul 16 2021 02:00:45 GMT-0400 (Eastern Daylight Time),2342.0,4
12,trial,Sp,27,Du,7,soundFiles/Spanish/lp300/common_voice_es_18343331.wav,soundFiles/Dutch/lp300/common_voice_nl_17694052.wav,349283,Fri Jul 16 2021 02:00:55 GMT-0400 (Eastern Daylight Time),678.0,3
13,trial,Ja,7,Ja,9,soundFiles/Japanese/lp300/common_voice_ja_19534151.wav,soundFiles/Japanese/lp300/common_voice_ja_19712330.wav,358848,Fri Jul 16 2021 02:01:05 GMT-0400 (Eastern Daylight Time),3910.0,5
14,trial,Du,21,Du,38,soundFiles/Dutch/lp300/common_voice_nl_17694711.wav,soundFiles/Dutch/lp300/common_voice_nl_17695459.wav,365209,Fri Jul 16 2021 02:01:11 GMT-0400 (Eastern Daylight Time),1013.0,5
15,trial,It,3,Ta,41,soundFiles/Italian/lp300/common_voice_it_17415849.wav,soundFiles/Tamil/lp300/common_voice_ta_19693202.wav,375019,Fri Jul 16 2021 02:01:21 GMT-0400 (Eastern Daylight Time),950.0,1
16,trial,Ge,26,Ja,1,soundFiles/German/lp300/common_voice_de_18075705.wav,soundFiles/Japanese/lp300/common_voice_ja_19485250.wav,386475,Fri Jul 16 2021 02:01:32 GMT-0400 (Eastern Daylight Time),1834.0,4
17,trial,Ge,32,En,40,soundFiles/German/lp300/common_voice_de_18221542.wav,soundFiles/English/lp300/common_voice_en_33959.wav,394805,Fri Jul 16 2021 02:01:41 GMT-0400 (Eastern Daylight Time),761.0,3
18,trial,Ge,36,Sp,46,soundFiles/German/lp300/common_voice_de_18287461.wav,soundFiles/Spanish/lp300/common_voice_es_18453794.wav,406670,Fri Jul 16 2021 02:01:52 GMT-0400 (Eastern Daylight Time),844.0,6
19,trial,Ta,30,Du,26,soundFiles/Tamil/lp300/common_voice_ta_19523221.wav,soundFiles/Dutch/lp300/common_voice_nl_17694904.wav,415109,Fri Jul 16 2021 02:02:01 GMT-0400 (Eastern Daylight Time),1732.0,2
20,trial,Ge,10,Ge,15,soundFiles/German/lp300/common_voice_de_17491127.wav,soundFiles/German/lp300/common_voice_de_17655454.wav,432571,Fri Jul 16 2021 02:02:18 GMT-0400 (Eastern Daylight Time),840.0,6
21,trial,Ge,5,En,15,soundFiles/German/lp300/common_voice_de_17341144.wav,soundFiles/English/lp300/common_voice_en_22440.wav,442955,Fri Jul 16 2021 02:02:29 GMT-0400 (Eastern Daylight Time),861.0,1
22,trial,En,20,En,33,soundFiles/English/lp300/common_voice_en_23918.wav,soundFiles/English/lp300/common_voice_en_26602.wav,454331,Fri Jul 16 2021 02:02:40 GMT-0400 (Eastern Daylight Time),1295.0,7
23,trial,Ja,39,En,9,soundFiles/Japanese/lp300/common_voice_ja_22240589.wav,soundFiles/English/lp300/common_voice_en_20568.wav,462452,Fri Jul 16 2021 02:02:48 GMT-0400 (Eastern Daylight Time),1185.0,5
24,trial,Sp,30,Sp,1,soundFiles/Spanish/lp300/common_voice_es_18345886.wav,soundFiles/Spanish/lp300/common_voice_es_18311034.wav,472567,Fri Jul 16 2021 02:02:58 GMT-0400 (Eastern Daylight Time),646.0,6
25,trial,Sp,41,Ge,38,soundFiles/Spanish/lp300/common_voice_es_18404696.wav,soundFiles/German/lp300/common_voice_de_18305449.wav,483641,Fri Jul 16 2021 02:03:09 GMT-0400 (Eastern Daylight Time),2207.0,2
26,trial,Ta,18,Ge,17,soundFiles/Tamil/lp300/common_voice_ta_19310351.wav,soundFiles/German/lp300/common_voice_de_17670710.wav,496706,Fri Jul 16 2021 02:03:22 GMT-0400 (Eastern Daylight Time),790.0,3
27,trial,En,44,En,47,soundFiles/English/lp300/common_voice_en_34810.wav,soundFiles/English/lp300/common_voice_en_35328.wav,509959,Fri Jul 16 2021 02:03:36 GMT-0400 (Eastern Daylight Time),1250.0,4
28,trial,Ta,6,Ta,44,soundFiles/Tamil/lp300/common_voice_ta_19159402.wav,soundFiles/Tamil/lp300/common_voice_ta_19819844.wav,523518,Fri Jul 16 2021 02:03:49 GMT-0400 (Eastern Daylight Time),3887.0,7
