trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Du,39,Ja,10,soundFiles/Dutch/lp300/common_voice_nl_17695502.wav,soundFiles/Japanese/lp300/common_voice_ja_19763931.wav,487564,Fri Jul 16 2021 02:09:47 GMT-0400 (Eastern Daylight Time),6080.599999964237,3
2,trial,Ge,47,Ge,18,soundFiles/German/lp300/common_voice_de_18344291.wav,soundFiles/German/lp300/common_voice_de_17693468.wav,498561,Fri Jul 16 2021 02:09:58 GMT-0400 (Eastern Daylight Time),1918.3000000119212,2
3,trial,En,39,Ja,32,soundFiles/English/lp300/common_voice_en_33720.wav,soundFiles/Japanese/lp300/common_voice_ja_21568007.wav,507654,Fri Jul 16 2021 02:10:07 GMT-0400 (Eastern Daylight Time),3019.3999999761577,4
4,trial,It,9,En,23,soundFiles/Italian/lp300/common_voice_it_17416256.wav,soundFiles/English/lp300/common_voice_en_25009.wav,519112,Fri Jul 16 2021 02:10:19 GMT-0400 (Eastern Daylight Time),1945.3999999761581,2
5,trial,Sp,1,En,8,soundFiles/Spanish/lp300/common_voice_es_18311034.wav,soundFiles/English/lp300/common_voice_en_20483.wav,530288,Fri Jul 16 2021 02:10:30 GMT-0400 (Eastern Daylight Time),2872.699999988079,5
6,trial,Sp,4,It,37,soundFiles/Spanish/lp300/common_voice_es_18311468.wav,soundFiles/Italian/lp300/common_voice_it_17429633.wav,540800,Fri Jul 16 2021 02:10:41 GMT-0400 (Eastern Daylight Time),2293.699999988079,3
7,trial,Ge,11,Ge,29,soundFiles/German/lp300/common_voice_de_17556480.wav,soundFiles/German/lp300/common_voice_de_18200525.wav,553694,Fri Jul 16 2021 02:10:54 GMT-0400 (Eastern Daylight Time),3021.0,3
8,trial,Ta,3,Ge,8,soundFiles/Tamil/lp300/common_voice_ta_19093453.wav,soundFiles/German/lp300/common_voice_de_17384299.wav,564240,Fri Jul 16 2021 02:11:04 GMT-0400 (Eastern Daylight Time),1414.5,2
9,trial,Ta,9,En,25,soundFiles/Tamil/lp300/common_voice_ta_19171568.wav,soundFiles/English/lp300/common_voice_en_25282.wav,573708,Fri Jul 16 2021 02:11:14 GMT-0400 (Eastern Daylight Time),2491.199999988079,6
10,trial,Du,28,Du,23,soundFiles/Dutch/lp300/common_voice_nl_17694995.wav,soundFiles/Dutch/lp300/common_voice_nl_17694780.wav,582046,Fri Jul 16 2021 02:11:22 GMT-0400 (Eastern Daylight Time),2399.700000047684,2
11,trial,Ja,26,Ge,19,soundFiles/Japanese/lp300/common_voice_ja_20841639.wav,soundFiles/German/lp300/common_voice_de_17768611.wav,591178,Fri Jul 16 2021 02:11:31 GMT-0400 (Eastern Daylight Time),2838.699999988079,5
12,trial,Ge,12,En,46,soundFiles/German/lp300/common_voice_de_17565482.wav,soundFiles/English/lp300/common_voice_en_35165.wav,602708,Fri Jul 16 2021 02:11:43 GMT-0400 (Eastern Daylight Time),1610.8000000119212,6
13,trial,En,38,Ta,31,soundFiles/English/lp300/common_voice_en_33478.wav,soundFiles/Tamil/lp300/common_voice_ta_19528797.wav,612906,Fri Jul 16 2021 02:11:53 GMT-0400 (Eastern Daylight Time),1431.6999999880788,5
14,trial,Sp,22,Sp,30,soundFiles/Spanish/lp300/common_voice_es_18337707.wav,soundFiles/Spanish/lp300/common_voice_es_18345886.wav,625821,Fri Jul 16 2021 02:12:06 GMT-0400 (Eastern Daylight Time),2058.100000023842,2
15,trial,It,5,It,14,soundFiles/Italian/lp300/common_voice_it_17415965.wav,soundFiles/Italian/lp300/common_voice_it_17416669.wav,639350,Fri Jul 16 2021 02:12:19 GMT-0400 (Eastern Daylight Time),1663.5,4
