trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Ge,34,Du,39,soundFiles/German/lp300/common_voice_de_18262407.wav,soundFiles/Dutch/lp300/common_voice_nl_17695502.wav,206127,Fri Jul 16 2021 02:37:51 GMT-0700 (Pacific Daylight Time),3351.5,2
2,trial,Sp,20,Ge,25,soundFiles/Spanish/lp300/common_voice_es_18336252.wav,soundFiles/German/lp300/common_voice_de_17884551.wav,218085,Fri Jul 16 2021 02:38:03 GMT-0700 (Pacific Daylight Time),1525.2000000001865,3
3,trial,It,40,Du,36,soundFiles/Italian/lp300/common_voice_it_17434159.wav,soundFiles/Dutch/lp300/common_voice_nl_17695328.wav,230548,Fri Jul 16 2021 02:38:15 GMT-0700 (Pacific Daylight Time),4049.6000000000927,6
4,trial,Du,15,En,46,soundFiles/Dutch/lp300/common_voice_nl_17694437.wav,soundFiles/English/lp300/common_voice_en_35165.wav,240823,Fri Jul 16 2021 02:38:25 GMT-0700 (Pacific Daylight Time),1356.3000000002796,1
5,trial,En,8,It,23,soundFiles/English/lp300/common_voice_en_20483.wav,soundFiles/Italian/lp300/common_voice_it_17420604.wav,250935,Fri Jul 16 2021 02:38:36 GMT-0700 (Pacific Daylight Time),1838.8999999999066,1
6,trial,Ta,13,Ta,4,soundFiles/Tamil/lp300/common_voice_ta_19189979.wav,soundFiles/Tamil/lp300/common_voice_ta_19093464.wav,259228,Fri Jul 16 2021 02:38:44 GMT-0700 (Pacific Daylight Time),921.3999999999068,2
7,trial,Du,28,En,42,soundFiles/Dutch/lp300/common_voice_nl_17694995.wav,soundFiles/English/lp300/common_voice_en_34328.wav,269497,Fri Jul 16 2021 02:38:54 GMT-0700 (Pacific Daylight Time),1349.8999999999069,2
8,trial,Ge,32,Ja,47,soundFiles/German/lp300/common_voice_de_18221542.wav,soundFiles/Japanese/lp300/common_voice_ja_23240625.wav,283800,Fri Jul 16 2021 02:39:08 GMT-0700 (Pacific Daylight Time),943.1999999997206,5
9,trial,En,35,Ja,13,soundFiles/English/lp300/common_voice_en_26957.wav,soundFiles/Japanese/lp300/common_voice_ja_19780254.wav,292905,Fri Jul 16 2021 02:39:18 GMT-0700 (Pacific Daylight Time),1075.5,4
10,trial,Ja,12,Ta,27,soundFiles/Japanese/lp300/common_voice_ja_19779460.wav,soundFiles/Tamil/lp300/common_voice_ta_19449751.wav,304229,Fri Jul 16 2021 02:39:29 GMT-0700 (Pacific Daylight Time),2039.1000000000927,6
11,trial,En,32,It,27,soundFiles/English/lp300/common_voice_en_26013.wav,soundFiles/Italian/lp300/common_voice_it_17424839.wav,316791,Fri Jul 16 2021 02:39:41 GMT-0700 (Pacific Daylight Time),1263.8000000002796,2
12,trial,Du,4,Ge,16,soundFiles/Dutch/lp300/common_voice_nl_17693521.wav,soundFiles/German/lp300/common_voice_de_17662346.wav,331493,Fri Jul 16 2021 02:39:56 GMT-0700 (Pacific Daylight Time),2835.0,5
13,trial,Ta,6,Ta,36,soundFiles/Tamil/lp300/common_voice_ta_19159402.wav,soundFiles/Tamil/lp300/common_voice_ta_19605511.wav,341674,Fri Jul 16 2021 02:40:06 GMT-0700 (Pacific Daylight Time),1286.7999999998135,3
14,trial,Sp,35,Ta,35,soundFiles/Spanish/lp300/common_voice_es_18369836.wav,soundFiles/Tamil/lp300/common_voice_ta_19568230.wav,350366,Fri Jul 16 2021 02:40:15 GMT-0700 (Pacific Daylight Time),1208.6000000000931,5
15,trial,Du,34,Ja,41,soundFiles/Dutch/lp300/common_voice_nl_17695284.wav,soundFiles/Japanese/lp300/common_voice_ja_22311505.wav,360499,Fri Jul 16 2021 02:40:25 GMT-0700 (Pacific Daylight Time),1919.7999999998135,3
16,trial,Sp,37,It,39,soundFiles/Spanish/lp300/common_voice_es_18376956.wav,soundFiles/Italian/lp300/common_voice_it_17433572.wav,372985,Fri Jul 16 2021 02:40:38 GMT-0700 (Pacific Daylight Time),1514.5,3
17,trial,Du,20,Ja,43,soundFiles/Dutch/lp300/common_voice_nl_17694695.wav,soundFiles/Japanese/lp300/common_voice_ja_22376326.wav,382026,Fri Jul 16 2021 02:40:47 GMT-0700 (Pacific Daylight Time),2566.4000000003725,2
18,trial,En,34,Ta,38,soundFiles/English/lp300/common_voice_en_26746.wav,soundFiles/Tamil/lp300/common_voice_ta_19670962.wav,391097,Fri Jul 16 2021 02:40:56 GMT-0700 (Pacific Daylight Time),2465.600000000093,2
19,trial,Du,29,Sp,27,soundFiles/Dutch/lp300/common_voice_nl_17695033.wav,soundFiles/Spanish/lp300/common_voice_es_18343331.wav,401357,Fri Jul 16 2021 02:41:06 GMT-0700 (Pacific Daylight Time),2836.7000000001867,2
20,trial,It,43,Ja,39,soundFiles/Italian/lp300/common_voice_it_17435406.wav,soundFiles/Japanese/lp300/common_voice_ja_22240589.wav,1682241,Fri Jul 16 2021 03:02:27 GMT-0700 (Pacific Daylight Time),1313.0999999996275,2
21,trial,Du,12,It,8,soundFiles/Dutch/lp300/common_voice_nl_17694315.wav,soundFiles/Italian/lp300/common_voice_it_17416217.wav,1694021,Fri Jul 16 2021 03:02:39 GMT-0700 (Pacific Daylight Time),1197.7000000001865,2
22,trial,Du,7,Ja,19,soundFiles/Dutch/lp300/common_voice_nl_17694052.wav,soundFiles/Japanese/lp300/common_voice_ja_20073782.wav,1706062,Fri Jul 16 2021 03:02:51 GMT-0700 (Pacific Daylight Time),2030.0,2
23,trial,It,41,Ta,29,soundFiles/Italian/lp300/common_voice_it_17435295.wav,soundFiles/Tamil/lp300/common_voice_ta_19523147.wav,1715660,Fri Jul 16 2021 03:03:00 GMT-0700 (Pacific Daylight Time),806.8000000007451,2
24,trial,En,33,En,18,soundFiles/English/lp300/common_voice_en_26602.wav,soundFiles/English/lp300/common_voice_en_22984.wav,1726421,Fri Jul 16 2021 03:03:11 GMT-0700 (Pacific Daylight Time),966.4000000003723,1
25,trial,En,31,Sp,43,soundFiles/English/lp300/common_voice_en_25848.wav,soundFiles/Spanish/lp300/common_voice_es_18424433.wav,1741514,Fri Jul 16 2021 03:03:26 GMT-0700 (Pacific Daylight Time),5001.0,2
26,trial,Sp,9,Ta,42,soundFiles/Spanish/lp300/common_voice_es_18319766.wav,soundFiles/Tamil/lp300/common_voice_ta_19761494.wav,1752302,Fri Jul 16 2021 03:03:37 GMT-0700 (Pacific Daylight Time),2849.5,2
27,trial,Ge,12,It,10,soundFiles/German/lp300/common_voice_de_17565482.wav,soundFiles/Italian/lp300/common_voice_it_17416492.wav,1769889,Fri Jul 16 2021 03:03:55 GMT-0700 (Pacific Daylight Time),4178.299999999814,2
28,trial,Ta,32,Ge,5,soundFiles/Tamil/lp300/common_voice_ta_19533166.wav,soundFiles/German/lp300/common_voice_de_17341144.wav,1782284,Fri Jul 16 2021 03:04:07 GMT-0700 (Pacific Daylight Time),773.8999999994412,3
29,trial,It,21,Ja,35,soundFiles/Italian/lp300/common_voice_it_17420257.wav,soundFiles/Japanese/lp300/common_voice_ja_21765965.wav,1791839,Fri Jul 16 2021 03:04:16 GMT-0700 (Pacific Daylight Time),1423.4000000003725,2
30,trial,Ge,44,Ge,17,soundFiles/German/lp300/common_voice_de_18338470.wav,soundFiles/German/lp300/common_voice_de_17670710.wav,1804047,Fri Jul 16 2021 03:04:29 GMT-0700 (Pacific Daylight Time),1582.6000000005588,1
31,trial,Ge,18,Du,46,soundFiles/German/lp300/common_voice_de_17693468.wav,soundFiles/Dutch/lp300/common_voice_nl_17695875.wav,1815064,Fri Jul 16 2021 03:04:40 GMT-0700 (Pacific Daylight Time),1722.2000000001865,2
32,trial,Ta,20,Du,26,soundFiles/Tamil/lp300/common_voice_ta_19340119.wav,soundFiles/Dutch/lp300/common_voice_nl_17694904.wav,1823328,Fri Jul 16 2021 03:04:48 GMT-0700 (Pacific Daylight Time),1175.5,1
33,trial,Ta,16,Ja,22,soundFiles/Tamil/lp300/common_voice_ta_19305293.wav,soundFiles/Japanese/lp300/common_voice_ja_20074856.wav,1832541,Fri Jul 16 2021 03:04:57 GMT-0700 (Pacific Daylight Time),1067.0,1
34,trial,Ge,9,Ge,21,soundFiles/German/lp300/common_voice_de_17433175.wav,soundFiles/German/lp300/common_voice_de_17827912.wav,1841773,Fri Jul 16 2021 03:05:06 GMT-0700 (Pacific Daylight Time),2047.7999999998135,3
35,trial,Ge,20,It,16,soundFiles/German/lp300/common_voice_de_17812707.wav,soundFiles/Italian/lp300/common_voice_it_17416810.wav,1851624,Fri Jul 16 2021 03:05:16 GMT-0700 (Pacific Daylight Time),1108.0999999996277,6
36,trial,En,39,En,20,soundFiles/English/lp300/common_voice_en_33720.wav,soundFiles/English/lp300/common_voice_en_23918.wav,1860931,Fri Jul 16 2021 03:05:26 GMT-0700 (Pacific Daylight Time),817.9000000003724,3
37,trial,Ge,43,Ja,5,soundFiles/German/lp300/common_voice_de_18334335.wav,soundFiles/Japanese/lp300/common_voice_ja_19507538.wav,1871013,Fri Jul 16 2021 03:05:36 GMT-0700 (Pacific Daylight Time),1499.2999999998135,3
38,trial,Ja,48,Ta,34,soundFiles/Japanese/lp300/common_voice_ja_23555409.wav,soundFiles/Tamil/lp300/common_voice_ta_19535832.wav,1884445,Fri Jul 16 2021 03:05:49 GMT-0700 (Pacific Daylight Time),1941.5999999996275,5
39,trial,Sp,13,Ja,3,soundFiles/Spanish/lp300/common_voice_es_18323074.wav,soundFiles/Japanese/lp300/common_voice_ja_19486649.wav,1894128,Fri Jul 16 2021 03:05:59 GMT-0700 (Pacific Daylight Time),1131.2999999998135,2
40,trial,Ge,1,Ge,45,soundFiles/German/lp300/common_voice_de_17304060.wav,soundFiles/German/lp300/common_voice_de_18339255.wav,1912071,Fri Jul 16 2021 03:06:17 GMT-0700 (Pacific Daylight Time),684.8999999994412,4
41,trial,Ta,31,Ge,40,soundFiles/Tamil/lp300/common_voice_ta_19528797.wav,soundFiles/German/lp300/common_voice_de_18309108.wav,1924175,Fri Jul 16 2021 03:06:29 GMT-0700 (Pacific Daylight Time),3279.5,4
42,trial,It,4,En,5,soundFiles/Italian/lp300/common_voice_it_17415861.wav,soundFiles/English/lp300/common_voice_en_180002.wav,1937963,Fri Jul 16 2021 03:06:43 GMT-0700 (Pacific Daylight Time),2900.7999999998133,3
43,trial,Ja,8,Ja,17,soundFiles/Japanese/lp300/common_voice_ja_19620105.wav,soundFiles/Japanese/lp300/common_voice_ja_20073271.wav,1951246,Fri Jul 16 2021 03:06:56 GMT-0700 (Pacific Daylight Time),2534.0,4
44,trial,Ja,38,Ja,42,soundFiles/Japanese/lp300/common_voice_ja_22213379.wav,soundFiles/Japanese/lp300/common_voice_ja_22342435.wav,1963249,Fri Jul 16 2021 03:07:08 GMT-0700 (Pacific Daylight Time),4162.0,5
45,trial,It,1,It,36,soundFiles/Italian/lp300/common_voice_it_17415819.wav,soundFiles/Italian/lp300/common_voice_it_17429617.wav,1974198,Fri Jul 16 2021 03:07:19 GMT-0700 (Pacific Daylight Time),2860.0,3
46,trial,Ta,18,Ge,47,soundFiles/Tamil/lp300/common_voice_ta_19310351.wav,soundFiles/German/lp300/common_voice_de_18344291.wav,1985553,Fri Jul 16 2021 03:07:30 GMT-0700 (Pacific Daylight Time),1693.8999999994412,2
47,trial,Sp,29,Ge,10,soundFiles/Spanish/lp300/common_voice_es_18344847.wav,soundFiles/German/lp300/common_voice_de_17491127.wav,1995319,Fri Jul 16 2021 03:07:40 GMT-0700 (Pacific Daylight Time),1207.6999999992552,5
48,trial,It,30,Ge,4,soundFiles/Italian/lp300/common_voice_it_17426051.wav,soundFiles/German/lp300/common_voice_de_17334357.wav,2010738,Fri Jul 16 2021 03:07:55 GMT-0700 (Pacific Daylight Time),2108.9000000003725,3
49,trial,It,19,Sp,41,soundFiles/Italian/lp300/common_voice_it_17420120.wav,soundFiles/Spanish/lp300/common_voice_es_18404696.wav,2022816,Fri Jul 16 2021 03:08:07 GMT-0700 (Pacific Daylight Time),1356.3999999994412,5
50,trial,Ja,30,Ja,11,soundFiles/Japanese/lp300/common_voice_ja_21560575.wav,soundFiles/Japanese/lp300/common_voice_ja_19779352.wav,2030519,Fri Jul 16 2021 03:08:15 GMT-0700 (Pacific Daylight Time),1610.0,2
51,trial,Ja,10,Ge,35,soundFiles/Japanese/lp300/common_voice_ja_19763931.wav,soundFiles/German/lp300/common_voice_de_18270213.wav,2041261,Fri Jul 16 2021 03:08:26 GMT-0700 (Pacific Daylight Time),1711.5,4
52,trial,Sp,18,Sp,26,soundFiles/Spanish/lp300/common_voice_es_18326665.wav,soundFiles/Spanish/lp300/common_voice_es_18342814.wav,2052381,Fri Jul 16 2021 03:08:37 GMT-0700 (Pacific Daylight Time),1387.8000000007448,5
53,trial,Sp,2,Ta,47,soundFiles/Spanish/lp300/common_voice_es_18311218.wav,soundFiles/Tamil/lp300/common_voice_ta_20056543.wav,2061991,Fri Jul 16 2021 03:08:47 GMT-0700 (Pacific Daylight Time),1369.9000000003725,5
54,trial,Du,21,It,15,soundFiles/Dutch/lp300/common_voice_nl_17694711.wav,soundFiles/Italian/lp300/common_voice_it_17416767.wav,2071957,Fri Jul 16 2021 03:08:57 GMT-0700 (Pacific Daylight Time),1618.1000000005588,3
55,trial,It,24,It,33,soundFiles/Italian/lp300/common_voice_it_17420755.wav,soundFiles/Italian/lp300/common_voice_it_17429496.wav,2083467,Fri Jul 16 2021 03:09:08 GMT-0700 (Pacific Daylight Time),746.7999999998137,5
56,trial,Ja,37,En,2,soundFiles/Japanese/lp300/common_voice_ja_21888240.wav,soundFiles/English/lp300/common_voice_en_13705.wav,2092946,Fri Jul 16 2021 03:09:18 GMT-0700 (Pacific Daylight Time),2992.5,3
57,trial,Ge,29,En,36,soundFiles/German/lp300/common_voice_de_18200525.wav,soundFiles/English/lp300/common_voice_en_27414.wav,2102070,Fri Jul 16 2021 03:09:27 GMT-0700 (Pacific Daylight Time),1278.4000000003725,7
58,trial,It,47,Ge,23,soundFiles/Italian/lp300/common_voice_it_17437768.wav,soundFiles/German/lp300/common_voice_de_17828232.wav,2110237,Fri Jul 16 2021 03:09:35 GMT-0700 (Pacific Daylight Time),1095.0999999996277,4
59,trial,Du,9,Du,8,soundFiles/Dutch/lp300/common_voice_nl_17694132.wav,soundFiles/Dutch/lp300/common_voice_nl_17694090.wav,2121362,Fri Jul 16 2021 03:09:46 GMT-0700 (Pacific Daylight Time),3282.0,4
60,trial,Du,35,Du,33,soundFiles/Dutch/lp300/common_voice_nl_17695317.wav,soundFiles/Dutch/lp300/common_voice_nl_17695254.wav,2135070,Fri Jul 16 2021 03:10:00 GMT-0700 (Pacific Daylight Time),1599.5,5
61,trial,Ja,44,Ge,15,soundFiles/Japanese/lp300/common_voice_ja_22467415.wav,soundFiles/German/lp300/common_voice_de_17655454.wav,2143652,Fri Jul 16 2021 03:10:08 GMT-0700 (Pacific Daylight Time),1070.7000000001863,5
62,trial,Du,6,Ta,33,soundFiles/Dutch/lp300/common_voice_nl_17694005.wav,soundFiles/Tamil/lp300/common_voice_ta_19533352.wav,2155087,Fri Jul 16 2021 03:10:20 GMT-0700 (Pacific Daylight Time),1375.0999999996275,5
63,trial,En,16,Sp,10,soundFiles/English/lp300/common_voice_en_22594.wav,soundFiles/Spanish/lp300/common_voice_es_18320703.wav,2165652,Fri Jul 16 2021 03:10:30 GMT-0700 (Pacific Daylight Time),928.1000000005588,4
64,trial,It,14,Ta,28,soundFiles/Italian/lp300/common_voice_it_17416669.wav,soundFiles/Tamil/lp300/common_voice_ta_19523086.wav,2174930,Fri Jul 16 2021 03:10:40 GMT-0700 (Pacific Daylight Time),875.5,4
65,trial,Ta,48,Du,48,soundFiles/Tamil/lp300/common_voice_ta_20067016.wav,soundFiles/Dutch/lp300/common_voice_nl_17696067.wav,2183395,Fri Jul 16 2021 03:10:48 GMT-0700 (Pacific Daylight Time),572.5,5
66,trial,Sp,23,Sp,4,soundFiles/Spanish/lp300/common_voice_es_18338572.wav,soundFiles/Spanish/lp300/common_voice_es_18311468.wav,2195005,Fri Jul 16 2021 03:11:00 GMT-0700 (Pacific Daylight Time),1633.0,5
67,trial,Ge,24,Ta,14,soundFiles/German/lp300/common_voice_de_17853548.wav,soundFiles/Tamil/lp300/common_voice_ta_19195637.wav,2209111,Fri Jul 16 2021 03:11:14 GMT-0700 (Pacific Daylight Time),3797.900000000373,5
68,trial,Ja,45,En,11,soundFiles/Japanese/lp300/common_voice_ja_22482087.wav,soundFiles/English/lp300/common_voice_en_21000.wav,2218940,Fri Jul 16 2021 03:11:24 GMT-0700 (Pacific Daylight Time),2508.2000000001863,5
69,trial,En,40,Ge,39,soundFiles/English/lp300/common_voice_en_33959.wav,soundFiles/German/lp300/common_voice_de_18306432.wav,2229058,Fri Jul 16 2021 03:11:34 GMT-0700 (Pacific Daylight Time),799.3000000007451,5
70,trial,Du,19,Du,13,soundFiles/Dutch/lp300/common_voice_nl_17694623.wav,soundFiles/Dutch/lp300/common_voice_nl_17694344.wav,2240318,Fri Jul 16 2021 03:11:45 GMT-0700 (Pacific Daylight Time),810.1000000005588,4
71,trial,It,42,It,22,soundFiles/Italian/lp300/common_voice_it_17435389.wav,soundFiles/Italian/lp300/common_voice_it_17420554.wav,2253784,Fri Jul 16 2021 03:11:58 GMT-0700 (Pacific Daylight Time),1008.4000000003723,3
72,trial,En,10,It,20,soundFiles/English/lp300/common_voice_en_20897.wav,soundFiles/Italian/lp300/common_voice_it_17420149.wav,2263536,Fri Jul 16 2021 03:12:08 GMT-0700 (Pacific Daylight Time),952.7000000001863,3
73,trial,Ja,4,En,9,soundFiles/Japanese/lp300/common_voice_ja_19507460.wav,soundFiles/English/lp300/common_voice_en_20568.wav,2276510,Fri Jul 16 2021 03:12:21 GMT-0700 (Pacific Daylight Time),2867.0,1
74,trial,Ja,23,Ta,37,soundFiles/Japanese/lp300/common_voice_ja_20190633.wav,soundFiles/Tamil/lp300/common_voice_ta_19634234.wav,2294826,Fri Jul 16 2021 03:12:39 GMT-0700 (Pacific Daylight Time),9714.700000000186,4
75,trial,Du,18,Sp,32,soundFiles/Dutch/lp300/common_voice_nl_17694569.wav,soundFiles/Spanish/lp300/common_voice_es_18353945.wav,2306415,Fri Jul 16 2021 03:12:51 GMT-0700 (Pacific Daylight Time),1113.1000000005588,5
76,trial,It,38,Ja,18,soundFiles/Italian/lp300/common_voice_it_17433550.wav,soundFiles/Japanese/lp300/common_voice_ja_20073499.wav,2320985,Fri Jul 16 2021 03:13:06 GMT-0700 (Pacific Daylight Time),2311.4000000003725,4
77,trial,Sp,46,Ta,11,soundFiles/Spanish/lp300/common_voice_es_18453794.wav,soundFiles/Tamil/lp300/common_voice_ta_19172151.wav,2332101,Fri Jul 16 2021 03:13:17 GMT-0700 (Pacific Daylight Time),1357.7000000001865,5
78,trial,Ge,33,Ja,14,soundFiles/German/lp300/common_voice_de_18228262.wav,soundFiles/Japanese/lp300/common_voice_ja_19817893.wav,2343847,Fri Jul 16 2021 03:13:28 GMT-0700 (Pacific Daylight Time),854.0,4
79,trial,En,43,Ge,36,soundFiles/English/lp300/common_voice_en_34446.wav,soundFiles/German/lp300/common_voice_de_18287461.wav,2352565,Fri Jul 16 2021 03:13:37 GMT-0700 (Pacific Daylight Time),1019.3999999994412,5
80,trial,It,13,Ta,24,soundFiles/Italian/lp300/common_voice_it_17416611.wav,soundFiles/Tamil/lp300/common_voice_ta_19373211.wav,2365405,Fri Jul 16 2021 03:13:50 GMT-0700 (Pacific Daylight Time),880.9000000003724,5
81,trial,It,48,It,3,soundFiles/Italian/lp300/common_voice_it_17437805.wav,soundFiles/Italian/lp300/common_voice_it_17415849.wav,2374754,Fri Jul 16 2021 03:13:59 GMT-0700 (Pacific Daylight Time),1101.0999999996277,4
82,trial,Ta,26,Du,10,soundFiles/Tamil/lp300/common_voice_ta_19422364.wav,soundFiles/Dutch/lp300/common_voice_nl_17694192.wav,2382592,Fri Jul 16 2021 03:14:07 GMT-0700 (Pacific Daylight Time),1054.7000000001863,5
83,trial,It,46,It,11,soundFiles/Italian/lp300/common_voice_it_17437423.wav,soundFiles/Italian/lp300/common_voice_it_17416527.wav,2394253,Fri Jul 16 2021 03:14:19 GMT-0700 (Pacific Daylight Time),878.9000000003724,4
84,trial,Ge,22,Sp,36,soundFiles/German/lp300/common_voice_de_17828180.wav,soundFiles/Spanish/lp300/common_voice_es_18373164.wav,2402585,Fri Jul 16 2021 03:14:27 GMT-0700 (Pacific Daylight Time),672.1999999992548,4
85,trial,Du,25,En,26,soundFiles/Dutch/lp300/common_voice_nl_17694858.wav,soundFiles/English/lp300/common_voice_en_25381.wav,2411083,Fri Jul 16 2021 03:14:36 GMT-0700 (Pacific Daylight Time),893.7000000001863,1
86,trial,Ja,24,Ta,44,soundFiles/Japanese/lp300/common_voice_ja_20468758.wav,soundFiles/Tamil/lp300/common_voice_ta_19819844.wav,2419821,Fri Jul 16 2021 03:14:44 GMT-0700 (Pacific Daylight Time),892.5,2
87,trial,Sp,40,Du,45,soundFiles/Spanish/lp300/common_voice_es_18389274.wav,soundFiles/Dutch/lp300/common_voice_nl_17695804.wav,2430651,Fri Jul 16 2021 03:14:55 GMT-0700 (Pacific Daylight Time),1587.9000000003725,1
88,trial,Ge,13,Ge,14,soundFiles/German/lp300/common_voice_de_17631604.wav,soundFiles/German/lp300/common_voice_de_17636752.wav,2440097,Fri Jul 16 2021 03:15:05 GMT-0700 (Pacific Daylight Time),689.7000000001863,3
89,trial,It,44,Sp,24,soundFiles/Italian/lp300/common_voice_it_17437119.wav,soundFiles/Spanish/lp300/common_voice_es_18339452.wav,2451044,Fri Jul 16 2021 03:15:16 GMT-0700 (Pacific Daylight Time),594.5,3
90,trial,Sp,42,En,3,soundFiles/Spanish/lp300/common_voice_es_18413601.wav,soundFiles/English/lp300/common_voice_en_14785.wav,2467585,Fri Jul 16 2021 03:15:32 GMT-0700 (Pacific Daylight Time),9648.900000000373,3
91,trial,En,44,Du,38,soundFiles/English/lp300/common_voice_en_34810.wav,soundFiles/Dutch/lp300/common_voice_nl_17695459.wav,2485994,Fri Jul 16 2021 03:15:51 GMT-0700 (Pacific Daylight Time),7671.599999999627,5
92,trial,It,35,Sp,45,soundFiles/Italian/lp300/common_voice_it_17429586.wav,soundFiles/Spanish/lp300/common_voice_es_18438511.wav,2501965,Fri Jul 16 2021 03:16:07 GMT-0700 (Pacific Daylight Time),4773.5,2
93,trial,Du,43,En,41,soundFiles/Dutch/lp300/common_voice_nl_17695672.wav,soundFiles/English/lp300/common_voice_en_34174.wav,2511798,Fri Jul 16 2021 03:16:16 GMT-0700 (Pacific Daylight Time),1029.5,1
94,trial,Du,47,Sp,8,soundFiles/Dutch/lp300/common_voice_nl_17695958.wav,soundFiles/Spanish/lp300/common_voice_es_18318093.wav,2522446,Fri Jul 16 2021 03:16:27 GMT-0700 (Pacific Daylight Time),1407.6000000005588,4
95,trial,Du,5,Ge,48,soundFiles/Dutch/lp300/common_voice_nl_17693978.wav,soundFiles/German/lp300/common_voice_de_18345073.wav,2533130,Fri Jul 16 2021 03:16:38 GMT-0700 (Pacific Daylight Time),782.7999999998137,5
96,trial,It,7,Ta,10,soundFiles/Italian/lp300/common_voice_it_17416195.wav,soundFiles/Tamil/lp300/common_voice_ta_19171925.wav,2542007,Fri Jul 16 2021 03:16:47 GMT-0700 (Pacific Daylight Time),1102.6000000005588,5
97,trial,Sp,33,It,12,soundFiles/Spanish/lp300/common_voice_es_18354712.wav,soundFiles/Italian/lp300/common_voice_it_17416561.wav,2552228,Fri Jul 16 2021 03:16:57 GMT-0700 (Pacific Daylight Time),1482.5,4
98,trial,Ta,12,It,17,soundFiles/Tamil/lp300/common_voice_ta_19183412.wav,soundFiles/Italian/lp300/common_voice_it_17416883.wav,2564251,Fri Jul 16 2021 03:17:09 GMT-0700 (Pacific Daylight Time),2774.2000000001867,5
99,trial,En,27,Ge,8,soundFiles/English/lp300/common_voice_en_25412.wav,soundFiles/German/lp300/common_voice_de_17384299.wav,2576099,Fri Jul 16 2021 03:17:21 GMT-0700 (Pacific Daylight Time),3064.5999999996275,2
100,trial,Ta,19,It,9,soundFiles/Tamil/lp300/common_voice_ta_19310457.wav,soundFiles/Italian/lp300/common_voice_it_17416256.wav,2591510,Fri Jul 16 2021 03:17:36 GMT-0700 (Pacific Daylight Time),612.8999999994412,4
101,trial,En,48,Ge,28,soundFiles/English/lp300/common_voice_en_3879.wav,soundFiles/German/lp300/common_voice_de_18186262.wav,2599845,Fri Jul 16 2021 03:17:44 GMT-0700 (Pacific Daylight Time),803.2999999998137,3
102,trial,Ge,31,Ge,2,soundFiles/German/lp300/common_voice_de_18217691.wav,soundFiles/German/lp300/common_voice_de_17322711.wav,2609341,Fri Jul 16 2021 03:17:54 GMT-0700 (Pacific Daylight Time),667.5999999996276,6
103,trial,Sp,30,Ja,2,soundFiles/Spanish/lp300/common_voice_es_18345886.wav,soundFiles/Japanese/lp300/common_voice_ja_19485592.wav,2617715,Fri Jul 16 2021 03:18:02 GMT-0700 (Pacific Daylight Time),764.7000000001863,4
104,trial,It,2,Ja,36,soundFiles/Italian/lp300/common_voice_it_17415836.wav,soundFiles/Japanese/lp300/common_voice_ja_21769368.wav,2625410,Fri Jul 16 2021 03:18:10 GMT-0700 (Pacific Daylight Time),1260.7999999998135,1
105,trial,Du,32,It,31,soundFiles/Dutch/lp300/common_voice_nl_17695227.wav,soundFiles/Italian/lp300/common_voice_it_17428102.wav,2637337,Fri Jul 16 2021 03:18:22 GMT-0700 (Pacific Daylight Time),1918.7000000001865,3
106,trial,Du,14,Ja,25,soundFiles/Dutch/lp300/common_voice_nl_17694387.wav,soundFiles/Japanese/lp300/common_voice_ja_20493568.wav,2646669,Fri Jul 16 2021 03:18:31 GMT-0700 (Pacific Daylight Time),1048.2000000001863,3
107,trial,En,37,Ta,7,soundFiles/English/lp300/common_voice_en_33114.wav,soundFiles/Tamil/lp300/common_voice_ta_19165158.wav,2660067,Fri Jul 16 2021 03:18:45 GMT-0700 (Pacific Daylight Time),2190.7999999998137,5
108,trial,En,25,It,34,soundFiles/English/lp300/common_voice_en_25282.wav,soundFiles/Italian/lp300/common_voice_it_17429552.wav,2667715,Fri Jul 16 2021 03:18:52 GMT-0700 (Pacific Daylight Time),965.0999999996277,2
109,trial,Du,31,It,28,soundFiles/Dutch/lp300/common_voice_nl_17695130.wav,soundFiles/Italian/lp300/common_voice_it_17425674.wav,2678335,Fri Jul 16 2021 03:19:03 GMT-0700 (Pacific Daylight Time),3461.1000000005592,5
