trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Ta,16,Ta,34,soundFiles/Tamil/lp300/common_voice_ta_19305293.wav,soundFiles/Tamil/lp300/common_voice_ta_19535832.wav,321112,Fri Jul 16 2021 02:16:43 GMT-0400 (Eastern Daylight Time),2270.4000000059605,1
2,trial,Ta,25,Ta,8,soundFiles/Tamil/lp300/common_voice_ta_19385685.wav,soundFiles/Tamil/lp300/common_voice_ta_19171508.wav,330939,Fri Jul 16 2021 02:16:53 GMT-0400 (Eastern Daylight Time),1646.8999999761581,4
3,trial,It,43,Sp,6,soundFiles/Italian/lp300/common_voice_it_17435406.wav,soundFiles/Spanish/lp300/common_voice_es_18313989.wav,342537,Fri Jul 16 2021 02:17:05 GMT-0400 (Eastern Daylight Time),1434.6999999880788,1
4,trial,Ja,1,Du,22,soundFiles/Japanese/lp300/common_voice_ja_19485250.wav,soundFiles/Dutch/lp300/common_voice_nl_17694749.wav,350253,Fri Jul 16 2021 02:17:12 GMT-0400 (Eastern Daylight Time),550.8000000119208,5
5,trial,It,10,Ja,17,soundFiles/Italian/lp300/common_voice_it_17416492.wav,soundFiles/Japanese/lp300/common_voice_ja_20073271.wav,365633,Fri Jul 16 2021 02:17:28 GMT-0400 (Eastern Daylight Time),2429.699999988079,6
6,trial,Ge,25,It,35,soundFiles/German/lp300/common_voice_de_17884551.wav,soundFiles/Italian/lp300/common_voice_it_17429586.wav,378086,Fri Jul 16 2021 02:17:40 GMT-0400 (Eastern Daylight Time),1222.600000023842,1
7,trial,Ta,28,Ge,7,soundFiles/Tamil/lp300/common_voice_ta_19523086.wav,soundFiles/German/lp300/common_voice_de_17363271.wav,387222,Fri Jul 16 2021 02:17:49 GMT-0400 (Eastern Daylight Time),578.6999999880792,6
8,trial,Ge,32,It,41,soundFiles/German/lp300/common_voice_de_18221542.wav,soundFiles/Italian/lp300/common_voice_it_17435295.wav,398610,Fri Jul 16 2021 02:18:01 GMT-0400 (Eastern Daylight Time),2045.6999999880788,6
9,trial,Du,31,Ja,41,soundFiles/Dutch/lp300/common_voice_nl_17695130.wav,soundFiles/Japanese/lp300/common_voice_ja_22311505.wav,406810,Fri Jul 16 2021 02:18:09 GMT-0400 (Eastern Daylight Time),825.5,2
10,trial,Ta,31,Ja,40,soundFiles/Tamil/lp300/common_voice_ta_19528797.wav,soundFiles/Japanese/lp300/common_voice_ja_22248681.wav,415779,Fri Jul 16 2021 02:18:18 GMT-0400 (Eastern Daylight Time),1194.5,6
11,trial,Du,9,It,15,soundFiles/Dutch/lp300/common_voice_nl_17694132.wav,soundFiles/Italian/lp300/common_voice_it_17416767.wav,427373,Fri Jul 16 2021 02:18:29 GMT-0400 (Eastern Daylight Time),1787.5,3
12,trial,Sp,9,Sp,12,soundFiles/Spanish/lp300/common_voice_es_18319766.wav,soundFiles/Spanish/lp300/common_voice_es_18322495.wav,438686,Fri Jul 16 2021 02:18:41 GMT-0400 (Eastern Daylight Time),2698.9000000059605,5
13,trial,Sp,39,Sp,34,soundFiles/Spanish/lp300/common_voice_es_18385644.wav,soundFiles/Spanish/lp300/common_voice_es_18363244.wav,448066,Fri Jul 16 2021 02:18:50 GMT-0400 (Eastern Daylight Time),499.1999999880791,7
14,trial,Ge,15,Ta,7,soundFiles/German/lp300/common_voice_de_17655454.wav,soundFiles/Tamil/lp300/common_voice_ta_19165158.wav,458268,Fri Jul 16 2021 02:19:00 GMT-0400 (Eastern Daylight Time),1381.0,1
15,trial,Ge,13,En,7,soundFiles/German/lp300/common_voice_de_17631604.wav,soundFiles/English/lp300/common_voice_en_18884.wav,468353,Fri Jul 16 2021 02:19:10 GMT-0400 (Eastern Daylight Time),1235.4000000059605,7
16,trial,En,30,Ta,19,soundFiles/English/lp300/common_voice_en_25792.wav,soundFiles/Tamil/lp300/common_voice_ta_19310457.wav,477776,Fri Jul 16 2021 02:19:20 GMT-0400 (Eastern Daylight Time),608.4000000059605,3
17,trial,Du,38,Ge,19,soundFiles/Dutch/lp300/common_voice_nl_17695459.wav,soundFiles/German/lp300/common_voice_de_17768611.wav,486045,Fri Jul 16 2021 02:19:28 GMT-0400 (Eastern Daylight Time),2407.2999999821186,5
18,trial,Sp,23,Ta,3,soundFiles/Spanish/lp300/common_voice_es_18338572.wav,soundFiles/Tamil/lp300/common_voice_ta_19093453.wav,495829,Fri Jul 16 2021 02:19:38 GMT-0400 (Eastern Daylight Time),1120.300000011921,7
19,trial,Ta,38,Sp,21,soundFiles/Tamil/lp300/common_voice_ta_19670962.wav,soundFiles/Spanish/lp300/common_voice_es_18337501.wav,506073,Fri Jul 16 2021 02:19:48 GMT-0400 (Eastern Daylight Time),714.0,1
20,trial,It,47,It,12,soundFiles/Italian/lp300/common_voice_it_17437768.wav,soundFiles/Italian/lp300/common_voice_it_17416561.wav,521129,Fri Jul 16 2021 02:20:03 GMT-0400 (Eastern Daylight Time),530.1000000238419,2
21,trial,It,2,En,32,soundFiles/Italian/lp300/common_voice_it_17415836.wav,soundFiles/English/lp300/common_voice_en_26013.wav,528406,Fri Jul 16 2021 02:20:11 GMT-0400 (Eastern Daylight Time),806.0999999940394,5
22,trial,Du,42,En,1,soundFiles/Dutch/lp300/common_voice_nl_17695621.wav,soundFiles/English/lp300/common_voice_en_12505.wav,535842,Fri Jul 16 2021 02:20:18 GMT-0400 (Eastern Daylight Time),1522.3000000119212,5
23,trial,Ge,27,Ja,15,soundFiles/German/lp300/common_voice_de_18137986.wav,soundFiles/Japanese/lp300/common_voice_ja_20068885.wav,544787,Fri Jul 16 2021 02:20:27 GMT-0400 (Eastern Daylight Time),1437.0,7
24,trial,It,48,En,23,soundFiles/Italian/lp300/common_voice_it_17437805.wav,soundFiles/English/lp300/common_voice_en_25009.wav,552779,Fri Jul 16 2021 02:20:35 GMT-0400 (Eastern Daylight Time),818.5,7
25,trial,Sp,4,Du,14,soundFiles/Spanish/lp300/common_voice_es_18311468.wav,soundFiles/Dutch/lp300/common_voice_nl_17694387.wav,562585,Fri Jul 16 2021 02:20:45 GMT-0400 (Eastern Daylight Time),1144.100000023842,1
26,trial,It,13,Ja,27,soundFiles/Italian/lp300/common_voice_it_17416611.wav,soundFiles/Japanese/lp300/common_voice_ja_20847167.wav,570628,Fri Jul 16 2021 02:20:53 GMT-0400 (Eastern Daylight Time),2107.199999988079,1
27,trial,Sp,1,En,9,soundFiles/Spanish/lp300/common_voice_es_18311034.wav,soundFiles/English/lp300/common_voice_en_20568.wav,580606,Fri Jul 16 2021 02:21:03 GMT-0400 (Eastern Daylight Time),1134.5999999940395,5
28,trial,Ja,47,Ja,8,soundFiles/Japanese/lp300/common_voice_ja_23240625.wav,soundFiles/Japanese/lp300/common_voice_ja_19620105.wav,596419,Fri Jul 16 2021 02:21:19 GMT-0400 (Eastern Daylight Time),886.7000000178813,7
29,trial,Du,10,Du,35,soundFiles/Dutch/lp300/common_voice_nl_17694192.wav,soundFiles/Dutch/lp300/common_voice_nl_17695317.wav,605657,Fri Jul 16 2021 02:21:28 GMT-0400 (Eastern Daylight Time),664.7000000178814,1
30,trial,It,44,Ta,20,soundFiles/Italian/lp300/common_voice_it_17437119.wav,soundFiles/Tamil/lp300/common_voice_ta_19340119.wav,615412,Fri Jul 16 2021 02:21:38 GMT-0400 (Eastern Daylight Time),1139.7999999821186,1
31,trial,Du,34,Ja,12,soundFiles/Dutch/lp300/common_voice_nl_17695284.wav,soundFiles/Japanese/lp300/common_voice_ja_19779460.wav,623839,Fri Jul 16 2021 02:21:46 GMT-0400 (Eastern Daylight Time),806.5,4
32,trial,En,21,Du,44,soundFiles/English/lp300/common_voice_en_24015.wav,soundFiles/Dutch/lp300/common_voice_nl_17695706.wav,631004,Fri Jul 16 2021 02:21:53 GMT-0400 (Eastern Daylight Time),610.1999999880792,1
33,trial,Ja,36,Ja,32,soundFiles/Japanese/lp300/common_voice_ja_21769368.wav,soundFiles/Japanese/lp300/common_voice_ja_21568007.wav,637400,Fri Jul 16 2021 02:22:00 GMT-0400 (Eastern Daylight Time),566.5,5
34,trial,Ta,42,It,30,soundFiles/Tamil/lp300/common_voice_ta_19761494.wav,soundFiles/Italian/lp300/common_voice_it_17426051.wav,652180,Fri Jul 16 2021 02:22:14 GMT-0400 (Eastern Daylight Time),976.0,1
35,trial,It,36,Sp,20,soundFiles/Italian/lp300/common_voice_it_17429617.wav,soundFiles/Spanish/lp300/common_voice_es_18336252.wav,665619,Fri Jul 16 2021 02:22:28 GMT-0400 (Eastern Daylight Time),2904.5,4
36,trial,It,6,It,4,soundFiles/Italian/lp300/common_voice_it_17416011.wav,soundFiles/Italian/lp300/common_voice_it_17415861.wav,684374,Fri Jul 16 2021 02:22:46 GMT-0400 (Eastern Daylight Time),4809.5,2
37,trial,En,25,Ge,6,soundFiles/English/lp300/common_voice_en_25282.wav,soundFiles/German/lp300/common_voice_de_17353186.wav,696397,Fri Jul 16 2021 02:22:59 GMT-0400 (Eastern Daylight Time),4981.400000005961,5
