trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Ta,22,Ta,7,soundFiles/Tamil/lp300/common_voice_ta_19341526.wav,soundFiles/Tamil/lp300/common_voice_ta_19165158.wav,301443,Fri Jul 16 2021 01:02:28 GMT-0400 (Eastern Daylight Time),1654.7999999970195,6
2,trial,Ta,6,Ge,43,soundFiles/Tamil/lp300/common_voice_ta_19159402.wav,soundFiles/German/lp300/common_voice_de_18334335.wav,312126,Fri Jul 16 2021 01:02:39 GMT-0400 (Eastern Daylight Time),867.5,7
3,trial,It,42,En,22,soundFiles/Italian/lp300/common_voice_it_17435389.wav,soundFiles/English/lp300/common_voice_en_24296.wav,321565,Fri Jul 16 2021 01:02:48 GMT-0400 (Eastern Daylight Time),1266.7999999970198,2
4,trial,Du,36,Ta,12,soundFiles/Dutch/lp300/common_voice_nl_17695328.wav,soundFiles/Tamil/lp300/common_voice_ta_19183412.wav,328935,Fri Jul 16 2021 01:02:56 GMT-0400 (Eastern Daylight Time),926.5999999940396,2
5,trial,Du,34,Du,38,soundFiles/Dutch/lp300/common_voice_nl_17695284.wav,soundFiles/Dutch/lp300/common_voice_nl_17695459.wav,336647,Fri Jul 16 2021 01:03:03 GMT-0400 (Eastern Daylight Time),1408.5,4
6,trial,Ge,28,It,35,soundFiles/German/lp300/common_voice_de_18186262.wav,soundFiles/Italian/lp300/common_voice_it_17429586.wav,348333,Fri Jul 16 2021 01:03:15 GMT-0400 (Eastern Daylight Time),884.3999999985098,5
7,trial,Ja,11,Ge,4,soundFiles/Japanese/lp300/common_voice_ja_19779352.wav,soundFiles/German/lp300/common_voice_de_17334357.wav,355982,Fri Jul 16 2021 01:03:23 GMT-0400 (Eastern Daylight Time),782.3000000044702,5
8,trial,Ja,2,Ge,37,soundFiles/Japanese/lp300/common_voice_ja_19485592.wav,soundFiles/German/lp300/common_voice_de_18302858.wav,363951,Fri Jul 16 2021 01:03:31 GMT-0400 (Eastern Daylight Time),711.5,3
9,trial,It,41,Sp,36,soundFiles/Italian/lp300/common_voice_it_17435295.wav,soundFiles/Spanish/lp300/common_voice_es_18373164.wav,374759,Fri Jul 16 2021 01:03:42 GMT-0400 (Eastern Daylight Time),1269.0,5
10,trial,Sp,14,Sp,22,soundFiles/Spanish/lp300/common_voice_es_18324374.wav,soundFiles/Spanish/lp300/common_voice_es_18337707.wav,386492,Fri Jul 16 2021 01:03:53 GMT-0400 (Eastern Daylight Time),1022.0,3
