trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,En,9,Ge,45,soundFiles/English/lp300/common_voice_en_20568.wav,soundFiles/German/lp300/common_voice_de_18339255.wav,200884,Fri Jul 16 2021 03:58:24 GMT-0500 (Central Daylight Time),2654.0999999940395,1
2,trial,Du,10,Sp,3,soundFiles/Dutch/lp300/common_voice_nl_17694192.wav,soundFiles/Spanish/lp300/common_voice_es_18311427.wav,210067,Fri Jul 16 2021 03:58:33 GMT-0500 (Central Daylight Time),2497.699999988079,4
3,trial,It,15,En,44,soundFiles/Italian/lp300/common_voice_it_17416767.wav,soundFiles/English/lp300/common_voice_en_34810.wav,226142,Fri Jul 16 2021 03:58:49 GMT-0500 (Central Daylight Time),2441.199999988079,5
4,trial,Ge,31,Ta,10,soundFiles/German/lp300/common_voice_de_18217691.wav,soundFiles/Tamil/lp300/common_voice_ta_19171925.wav,237511,Fri Jul 16 2021 03:59:01 GMT-0500 (Central Daylight Time),1731.0,5
5,trial,It,30,It,5,soundFiles/Italian/lp300/common_voice_it_17426051.wav,soundFiles/Italian/lp300/common_voice_it_17415965.wav,256719,Fri Jul 16 2021 03:59:20 GMT-0500 (Central Daylight Time),2690.2999999821186,1
6,trial,Ja,18,En,41,soundFiles/Japanese/lp300/common_voice_ja_20073499.wav,soundFiles/English/lp300/common_voice_en_34174.wav,268346,Fri Jul 16 2021 03:59:31 GMT-0500 (Central Daylight Time),3306.400000005961,1
7,trial,Du,37,Ge,33,soundFiles/Dutch/lp300/common_voice_nl_17695410.wav,soundFiles/German/lp300/common_voice_de_18228262.wav,279260,Fri Jul 16 2021 03:59:42 GMT-0500 (Central Daylight Time),1901.5999999940395,7
8,trial,Ta,24,Du,7,soundFiles/Tamil/lp300/common_voice_ta_19373211.wav,soundFiles/Dutch/lp300/common_voice_nl_17694052.wav,289499,Fri Jul 16 2021 03:59:53 GMT-0500 (Central Daylight Time),1867.0,1
9,trial,It,2,It,26,soundFiles/Italian/lp300/common_voice_it_17415836.wav,soundFiles/Italian/lp300/common_voice_it_17421440.wav,297741,Fri Jul 16 2021 04:00:01 GMT-0500 (Central Daylight Time),1391.6999999880788,1
10,trial,Du,25,Sp,11,soundFiles/Dutch/lp300/common_voice_nl_17694858.wav,soundFiles/Spanish/lp300/common_voice_es_18321002.wav,308152,Fri Jul 16 2021 04:00:11 GMT-0500 (Central Daylight Time),2791.400000005961,1
11,trial,En,18,Ta,17,soundFiles/English/lp300/common_voice_en_22984.wav,soundFiles/Tamil/lp300/common_voice_ta_19305358.wav,321388,Fri Jul 16 2021 04:00:24 GMT-0500 (Central Daylight Time),2677.2999999821186,1
12,trial,Ge,15,Ge,28,soundFiles/German/lp300/common_voice_de_17655454.wav,soundFiles/German/lp300/common_voice_de_18186262.wav,332112,Fri Jul 16 2021 04:00:35 GMT-0500 (Central Daylight Time),2081.199999988079,7
13,trial,Ge,1,It,19,soundFiles/German/lp300/common_voice_de_17304060.wav,soundFiles/Italian/lp300/common_voice_it_17420120.wav,344998,Fri Jul 16 2021 04:00:48 GMT-0500 (Central Daylight Time),2596.4000000059605,7
14,trial,Ge,7,It,1,soundFiles/German/lp300/common_voice_de_17363271.wav,soundFiles/Italian/lp300/common_voice_it_17415819.wav,356290,Fri Jul 16 2021 04:00:59 GMT-0500 (Central Daylight Time),3359.2999999821186,5
15,trial,Ja,14,Ja,21,soundFiles/Japanese/lp300/common_voice_ja_19817893.wav,soundFiles/Japanese/lp300/common_voice_ja_20074565.wav,368184,Fri Jul 16 2021 04:01:11 GMT-0500 (Central Daylight Time),2205.4000000059605,3
16,trial,Ge,24,Ta,13,soundFiles/German/lp300/common_voice_de_17853548.wav,soundFiles/Tamil/lp300/common_voice_ta_19189979.wav,380827,Fri Jul 16 2021 04:01:24 GMT-0500 (Central Daylight Time),3007.099999994039,1
17,trial,Ja,22,Ta,43,soundFiles/Japanese/lp300/common_voice_ja_20074856.wav,soundFiles/Tamil/lp300/common_voice_ta_19816099.wav,393040,Fri Jul 16 2021 04:01:36 GMT-0500 (Central Daylight Time),3976.9000000059614,1
18,trial,It,9,En,16,soundFiles/Italian/lp300/common_voice_it_17416256.wav,soundFiles/English/lp300/common_voice_en_22594.wav,405971,Fri Jul 16 2021 04:01:49 GMT-0500 (Central Daylight Time),919.3000000119208,1
19,trial,Ge,3,Du,5,soundFiles/German/lp300/common_voice_de_17331474.wav,soundFiles/Dutch/lp300/common_voice_nl_17693978.wav,418789,Fri Jul 16 2021 04:02:02 GMT-0500 (Central Daylight Time),4196.5,3
20,trial,Du,1,Ge,23,soundFiles/Dutch/lp300/common_voice_nl_17691034.wav,soundFiles/German/lp300/common_voice_de_17828232.wav,439045,Fri Jul 16 2021 04:02:22 GMT-0500 (Central Daylight Time),3633.9000000059614,3
21,trial,En,45,Ta,25,soundFiles/English/lp300/common_voice_en_34985.wav,soundFiles/Tamil/lp300/common_voice_ta_19385685.wav,454543,Fri Jul 16 2021 04:02:38 GMT-0500 (Central Daylight Time),6792.9000000059605,1
22,trial,Sp,25,Ja,44,soundFiles/Spanish/lp300/common_voice_es_18342228.wav,soundFiles/Japanese/lp300/common_voice_ja_22467415.wav,466587,Fri Jul 16 2021 04:02:50 GMT-0500 (Central Daylight Time),4174.0,4
23,trial,Du,19,Ge,10,soundFiles/Dutch/lp300/common_voice_nl_17694623.wav,soundFiles/German/lp300/common_voice_de_17491127.wav,480650,Fri Jul 16 2021 04:03:04 GMT-0500 (Central Daylight Time),4076.800000011921,5
24,trial,En,17,Du,45,soundFiles/English/lp300/common_voice_en_22713.wav,soundFiles/Dutch/lp300/common_voice_nl_17695804.wav,492761,Fri Jul 16 2021 04:03:16 GMT-0500 (Central Daylight Time),3069.0,6
25,trial,En,11,It,16,soundFiles/English/lp300/common_voice_en_21000.wav,soundFiles/Italian/lp300/common_voice_it_17416810.wav,511863,Fri Jul 16 2021 04:03:35 GMT-0500 (Central Daylight Time),10432.099999994041,3
26,trial,Sp,31,Ja,20,soundFiles/Spanish/lp300/common_voice_es_18348888.wav,soundFiles/Japanese/lp300/common_voice_ja_20074110.wav,522981,Fri Jul 16 2021 04:03:46 GMT-0500 (Central Daylight Time),2151.5,1
27,trial,Ge,36,Sp,37,soundFiles/German/lp300/common_voice_de_18287461.wav,soundFiles/Spanish/lp300/common_voice_es_18376956.wav,545051,Fri Jul 16 2021 04:04:08 GMT-0500 (Central Daylight Time),11248.700000017881,1
28,trial,En,22,Du,38,soundFiles/English/lp300/common_voice_en_24296.wav,soundFiles/Dutch/lp300/common_voice_nl_17695459.wav,552580,Fri Jul 16 2021 04:04:16 GMT-0500 (Central Daylight Time),1328.7999999821186,2
29,trial,Ge,20,It,18,soundFiles/German/lp300/common_voice_de_17812707.wav,soundFiles/Italian/lp300/common_voice_it_17419421.wav,562946,Fri Jul 16 2021 04:04:26 GMT-0500 (Central Daylight Time),2832.900000005961,1
30,trial,Ta,40,Ge,44,soundFiles/Tamil/lp300/common_voice_ta_19692758.wav,soundFiles/German/lp300/common_voice_de_18338470.wav,575522,Fri Jul 16 2021 04:04:39 GMT-0500 (Central Daylight Time),2771.8999999761577,3
31,trial,En,33,En,29,soundFiles/English/lp300/common_voice_en_26602.wav,soundFiles/English/lp300/common_voice_en_25674.wav,593752,Fri Jul 16 2021 04:04:57 GMT-0500 (Central Daylight Time),6779.7999999821195,3
32,trial,En,31,Ge,46,soundFiles/English/lp300/common_voice_en_25848.wav,soundFiles/German/lp300/common_voice_de_18341643.wav,603724,Fri Jul 16 2021 04:05:07 GMT-0500 (Central Daylight Time),1153.300000011921,1
33,trial,Ge,34,En,43,soundFiles/German/lp300/common_voice_de_18262407.wav,soundFiles/English/lp300/common_voice_en_34446.wav,613187,Fri Jul 16 2021 04:05:16 GMT-0500 (Central Daylight Time),2715.199999988079,1
34,trial,Sp,19,Sp,24,soundFiles/Spanish/lp300/common_voice_es_18330680.wav,soundFiles/Spanish/lp300/common_voice_es_18339452.wav,629148,Fri Jul 16 2021 04:05:32 GMT-0500 (Central Daylight Time),6755.4000000059605,1
35,trial,Ja,32,Ta,32,soundFiles/Japanese/lp300/common_voice_ja_21568007.wav,soundFiles/Tamil/lp300/common_voice_ta_19533166.wav,641526,Fri Jul 16 2021 04:05:45 GMT-0500 (Central Daylight Time),3610.5,1
