trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Du,45,Ja,44,soundFiles/Dutch/lp300/common_voice_nl_17695804.wav,soundFiles/Japanese/lp300/common_voice_ja_22467415.wav,218418,Fri Jul 16 2021 04:59:52 GMT-0400 (Eastern Daylight Time),2945.2999999821186,2
2,trial,Sp,18,En,21,soundFiles/Spanish/lp300/common_voice_es_18326665.wav,soundFiles/English/lp300/common_voice_en_24015.wav,226791,Fri Jul 16 2021 05:00:00 GMT-0400 (Eastern Daylight Time),867.6999999880791,2
3,trial,Ta,46,Sp,22,soundFiles/Tamil/lp300/common_voice_ta_19969967.wav,soundFiles/Spanish/lp300/common_voice_es_18337707.wav,238978,Fri Jul 16 2021 05:00:12 GMT-0400 (Eastern Daylight Time),1431.0,5
4,trial,Ja,18,Ta,45,soundFiles/Japanese/lp300/common_voice_ja_20073499.wav,soundFiles/Tamil/lp300/common_voice_ta_19820023.wav,248574,Fri Jul 16 2021 05:00:22 GMT-0400 (Eastern Daylight Time),910.0,4
5,trial,It,46,It,10,soundFiles/Italian/lp300/common_voice_it_17437423.wav,soundFiles/Italian/lp300/common_voice_it_17416492.wav,266052,Fri Jul 16 2021 05:00:39 GMT-0400 (Eastern Daylight Time),4833.2999999821195,5
6,trial,Sp,10,Du,18,soundFiles/Spanish/lp300/common_voice_es_18320703.wav,soundFiles/Dutch/lp300/common_voice_nl_17694569.wav,275543,Fri Jul 16 2021 05:00:49 GMT-0400 (Eastern Daylight Time),1623.5,2
7,trial,En,44,Du,28,soundFiles/English/lp300/common_voice_en_34810.wav,soundFiles/Dutch/lp300/common_voice_nl_17694995.wav,288077,Fri Jul 16 2021 05:01:01 GMT-0400 (Eastern Daylight Time),1274.0,1
8,trial,Ja,26,Ja,24,soundFiles/Japanese/lp300/common_voice_ja_20841639.wav,soundFiles/Japanese/lp300/common_voice_ja_20468758.wav,296619,Fri Jul 16 2021 05:01:10 GMT-0400 (Eastern Daylight Time),2000.9000000059605,5
9,trial,Ge,25,Sp,31,soundFiles/German/lp300/common_voice_de_17884551.wav,soundFiles/Spanish/lp300/common_voice_es_18348888.wav,306756,Fri Jul 16 2021 05:01:20 GMT-0400 (Eastern Daylight Time),679.5999999940395,7
10,trial,Ta,21,En,41,soundFiles/Tamil/lp300/common_voice_ta_19340381.wav,soundFiles/English/lp300/common_voice_en_34174.wav,316739,Fri Jul 16 2021 05:01:30 GMT-0400 (Eastern Daylight Time),751.2999999821187,1
11,trial,Sp,28,Du,36,soundFiles/Spanish/lp300/common_voice_es_18344729.wav,soundFiles/Dutch/lp300/common_voice_nl_17695328.wav,325452,Fri Jul 16 2021 05:01:39 GMT-0400 (Eastern Daylight Time),1433.5999999940395,7
12,trial,Ja,38,Ge,9,soundFiles/Japanese/lp300/common_voice_ja_22213379.wav,soundFiles/German/lp300/common_voice_de_17433175.wav,333889,Fri Jul 16 2021 05:01:47 GMT-0400 (Eastern Daylight Time),791.1999999880791,3
13,trial,En,28,Ja,2,soundFiles/English/lp300/common_voice_en_25568.wav,soundFiles/Japanese/lp300/common_voice_ja_19485592.wav,341883,Fri Jul 16 2021 05:01:55 GMT-0400 (Eastern Daylight Time),850.5,1
14,trial,Ge,34,Ge,6,soundFiles/German/lp300/common_voice_de_18262407.wav,soundFiles/German/lp300/common_voice_de_17353186.wav,351689,Fri Jul 16 2021 05:02:05 GMT-0400 (Eastern Daylight Time),1183.0,7
15,trial,Du,22,It,23,soundFiles/Dutch/lp300/common_voice_nl_17694749.wav,soundFiles/Italian/lp300/common_voice_it_17420604.wav,360503,Fri Jul 16 2021 05:02:14 GMT-0400 (Eastern Daylight Time),1031.199999988079,1
16,trial,Ge,10,Ja,21,soundFiles/German/lp300/common_voice_de_17491127.wav,soundFiles/Japanese/lp300/common_voice_ja_20074565.wav,369107,Fri Jul 16 2021 05:02:23 GMT-0400 (Eastern Daylight Time),1022.5,4
17,trial,Du,44,Ta,35,soundFiles/Dutch/lp300/common_voice_nl_17695706.wav,soundFiles/Tamil/lp300/common_voice_ta_19568230.wav,378675,Fri Jul 16 2021 05:02:32 GMT-0400 (Eastern Daylight Time),2615.700000017881,5
