trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,It,48,Sp,19,soundFiles/Italian/lp300/common_voice_it_17437805.wav,soundFiles/Spanish/lp300/common_voice_es_18330680.wav,715720,Fri Jul 16 2021 04:25:16 GMT-0600 (Central Standard Time),4581.399999991059,1
2,trial,Du,17,En,14,soundFiles/Dutch/lp300/common_voice_nl_17694507.wav,soundFiles/English/lp300/common_voice_en_22431.wav,727353,Fri Jul 16 2021 04:25:27 GMT-0600 (Central Standard Time),3802.600000008941,3
3,trial,En,5,It,18,soundFiles/English/lp300/common_voice_en_180002.wav,soundFiles/Italian/lp300/common_voice_it_17419421.wav,737138,Fri Jul 16 2021 04:25:37 GMT-0600 (Central Standard Time),2883.0,6
4,trial,En,27,Ta,10,soundFiles/English/lp300/common_voice_en_25412.wav,soundFiles/Tamil/lp300/common_voice_ta_19171925.wav,747753,Fri Jul 16 2021 04:25:48 GMT-0600 (Central Standard Time),1817.4000000059605,6
5,trial,Sp,22,Sp,27,soundFiles/Spanish/lp300/common_voice_es_18337707.wav,soundFiles/Spanish/lp300/common_voice_es_18343331.wav,761053,Fri Jul 16 2021 04:26:01 GMT-0600 (Central Standard Time),2497.600000008941,4
6,trial,Du,36,It,46,soundFiles/Dutch/lp300/common_voice_nl_17695328.wav,soundFiles/Italian/lp300/common_voice_it_17437423.wav,771167,Fri Jul 16 2021 04:26:11 GMT-0600 (Central Standard Time),1712.0,3
7,trial,En,19,Ge,4,soundFiles/English/lp300/common_voice_en_23843.wav,soundFiles/German/lp300/common_voice_de_17334357.wav,779759,Fri Jul 16 2021 04:26:20 GMT-0600 (Central Standard Time),1804.8999999910595,2
8,trial,It,28,Du,6,soundFiles/Italian/lp300/common_voice_it_17425674.wav,soundFiles/Dutch/lp300/common_voice_nl_17694005.wav,789057,Fri Jul 16 2021 04:26:29 GMT-0600 (Central Standard Time),2121.699999988079,5
9,trial,Sp,24,It,29,soundFiles/Spanish/lp300/common_voice_es_18339452.wav,soundFiles/Italian/lp300/common_voice_it_17425822.wav,802021,Fri Jul 16 2021 04:26:42 GMT-0600 (Central Standard Time),1952.3999999910595,1
10,trial,Sp,8,Ja,9,soundFiles/Spanish/lp300/common_voice_es_18318093.wav,soundFiles/Japanese/lp300/common_voice_ja_19712330.wav,812414,Fri Jul 16 2021 04:26:52 GMT-0600 (Central Standard Time),2391.100000008941,7
11,trial,Sp,30,Ja,36,soundFiles/Spanish/lp300/common_voice_es_18345886.wav,soundFiles/Japanese/lp300/common_voice_ja_21769368.wav,823038,Fri Jul 16 2021 04:27:03 GMT-0600 (Central Standard Time),2969.70000000298,2
12,trial,Ja,14,Ja,6,soundFiles/Japanese/lp300/common_voice_ja_19817893.wav,soundFiles/Japanese/lp300/common_voice_ja_19534055.wav,835055,Fri Jul 16 2021 04:27:15 GMT-0600 (Central Standard Time),2641.7999999970198,5
13,trial,En,29,En,13,soundFiles/English/lp300/common_voice_en_25674.wav,soundFiles/English/lp300/common_voice_en_22307.wav,847797,Fri Jul 16 2021 04:27:28 GMT-0600 (Central Standard Time),2960.600000008941,5
14,trial,It,32,Ge,28,soundFiles/Italian/lp300/common_voice_it_17429468.wav,soundFiles/German/lp300/common_voice_de_18186262.wav,857856,Fri Jul 16 2021 04:27:38 GMT-0600 (Central Standard Time),1936.29999999702,5
15,trial,Ta,22,Ge,47,soundFiles/Tamil/lp300/common_voice_ta_19341526.wav,soundFiles/German/lp300/common_voice_de_18344291.wav,867956,Fri Jul 16 2021 04:27:48 GMT-0600 (Central Standard Time),3136.70000000298,6
16,trial,Du,15,Ge,29,soundFiles/Dutch/lp300/common_voice_nl_17694437.wav,soundFiles/German/lp300/common_voice_de_18200525.wav,878492,Fri Jul 16 2021 04:27:58 GMT-0600 (Central Standard Time),1582.6000000089407,2
17,trial,Ta,44,It,23,soundFiles/Tamil/lp300/common_voice_ta_19819844.wav,soundFiles/Italian/lp300/common_voice_it_17420604.wav,889925,Fri Jul 16 2021 04:28:10 GMT-0600 (Central Standard Time),1988.4000000059605,3
18,trial,Sp,20,Ta,24,soundFiles/Spanish/lp300/common_voice_es_18336252.wav,soundFiles/Tamil/lp300/common_voice_ta_19373211.wav,900906,Fri Jul 16 2021 04:28:21 GMT-0600 (Central Standard Time),1925.6000000089407,5
19,trial,Ja,8,Ge,10,soundFiles/Japanese/lp300/common_voice_ja_19620105.wav,soundFiles/German/lp300/common_voice_de_17491127.wav,913813,Fri Jul 16 2021 04:28:34 GMT-0600 (Central Standard Time),3831.09999999404,6
20,trial,En,2,Ja,34,soundFiles/English/lp300/common_voice_en_13705.wav,soundFiles/Japanese/lp300/common_voice_ja_21647086.wav,1084852,Fri Jul 16 2021 04:31:25 GMT-0600 (Central Standard Time),4724.799999997021,3
21,trial,It,3,It,8,soundFiles/Italian/lp300/common_voice_it_17415849.wav,soundFiles/Italian/lp300/common_voice_it_17416217.wav,1101168,Fri Jul 16 2021 04:31:41 GMT-0600 (Central Standard Time),3237.79999999702,2
22,trial,Ta,40,Ta,20,soundFiles/Tamil/lp300/common_voice_ta_19692758.wav,soundFiles/Tamil/lp300/common_voice_ta_19340119.wav,1113892,Fri Jul 16 2021 04:31:54 GMT-0600 (Central Standard Time),3203.8999999910598,5
23,trial,Sp,28,Ta,38,soundFiles/Spanish/lp300/common_voice_es_18344729.wav,soundFiles/Tamil/lp300/common_voice_ta_19670962.wav,1126798,Fri Jul 16 2021 04:32:07 GMT-0600 (Central Standard Time),5729.300000011922,3
24,trial,Du,48,Sp,18,soundFiles/Dutch/lp300/common_voice_nl_17696067.wav,soundFiles/Spanish/lp300/common_voice_es_18326665.wav,1150905,Fri Jul 16 2021 04:32:31 GMT-0600 (Central Standard Time),15678.70000000298,4
25,trial,Sp,40,Sp,39,soundFiles/Spanish/lp300/common_voice_es_18389274.wav,soundFiles/Spanish/lp300/common_voice_es_18385644.wav,1162095,Fri Jul 16 2021 04:32:42 GMT-0600 (Central Standard Time),2580.2999999970198,1
26,trial,Ja,35,It,39,soundFiles/Japanese/lp300/common_voice_ja_21765965.wav,soundFiles/Italian/lp300/common_voice_it_17433572.wav,1174923,Fri Jul 16 2021 04:32:55 GMT-0600 (Central Standard Time),2137.7000000029802,1
27,trial,Du,40,Ja,37,soundFiles/Dutch/lp300/common_voice_nl_17695567.wav,soundFiles/Japanese/lp300/common_voice_ja_21888240.wav,1210787,Fri Jul 16 2021 04:33:31 GMT-0600 (Central Standard Time),28710.600000008937,3
28,trial,Sp,43,Ja,45,soundFiles/Spanish/lp300/common_voice_es_18424433.wav,soundFiles/Japanese/lp300/common_voice_ja_22482087.wav,1222247,Fri Jul 16 2021 04:33:42 GMT-0600 (Central Standard Time),3171.0,4
29,trial,Du,3,Du,45,soundFiles/Dutch/lp300/common_voice_nl_17691543.wav,soundFiles/Dutch/lp300/common_voice_nl_17695804.wav,1235690,Fri Jul 16 2021 04:33:56 GMT-0600 (Central Standard Time),3574.0,3
30,trial,En,1,It,2,soundFiles/English/lp300/common_voice_en_12505.wav,soundFiles/Italian/lp300/common_voice_it_17415836.wav,1244841,Fri Jul 16 2021 04:34:05 GMT-0600 (Central Standard Time),2532.9000000059605,2
31,trial,Ge,31,Ta,12,soundFiles/German/lp300/common_voice_de_18217691.wav,soundFiles/Tamil/lp300/common_voice_ta_19183412.wav,1255514,Fri Jul 16 2021 04:34:15 GMT-0600 (Central Standard Time),3206.0,5
32,trial,It,43,Sp,16,soundFiles/Italian/lp300/common_voice_it_17435406.wav,soundFiles/Spanish/lp300/common_voice_es_18325613.wav,1264945,Fri Jul 16 2021 04:34:25 GMT-0600 (Central Standard Time),1676.2999999970195,2
33,trial,Ja,5,Ge,17,soundFiles/Japanese/lp300/common_voice_ja_19507538.wav,soundFiles/German/lp300/common_voice_de_17670710.wav,1277651,Fri Jul 16 2021 04:34:38 GMT-0600 (Central Standard Time),2580.5999999940395,3
34,trial,Sp,23,Sp,13,soundFiles/Spanish/lp300/common_voice_es_18338572.wav,soundFiles/Spanish/lp300/common_voice_es_18323074.wav,1295837,Fri Jul 16 2021 04:34:56 GMT-0600 (Central Standard Time),9131.20000000298,4
35,trial,Sp,45,Du,21,soundFiles/Spanish/lp300/common_voice_es_18438511.wav,soundFiles/Dutch/lp300/common_voice_nl_17694711.wav,1310782,Fri Jul 16 2021 04:35:11 GMT-0600 (Central Standard Time),7484.90000000596,1
36,trial,Du,12,Du,34,soundFiles/Dutch/lp300/common_voice_nl_17694315.wav,soundFiles/Dutch/lp300/common_voice_nl_17695284.wav,1318291,Fri Jul 16 2021 04:35:18 GMT-0600 (Central Standard Time),1601.0,1
37,trial,Ja,11,Ta,46,soundFiles/Japanese/lp300/common_voice_ja_19779352.wav,soundFiles/Tamil/lp300/common_voice_ta_19969967.wav,1331154,Fri Jul 16 2021 04:35:31 GMT-0600 (Central Standard Time),5247.300000011921,1
38,trial,En,8,Du,10,soundFiles/English/lp300/common_voice_en_20483.wav,soundFiles/Dutch/lp300/common_voice_nl_17694192.wav,1341621,Fri Jul 16 2021 04:35:42 GMT-0600 (Central Standard Time),3333.900000005961,4
39,trial,Ja,42,Du,35,soundFiles/Japanese/lp300/common_voice_ja_22342435.wav,soundFiles/Dutch/lp300/common_voice_nl_17695317.wav,1369457,Fri Jul 16 2021 04:36:09 GMT-0600 (Central Standard Time),18838.09999999404,5
40,trial,Ta,19,Ja,25,soundFiles/Tamil/lp300/common_voice_ta_19310457.wav,soundFiles/Japanese/lp300/common_voice_ja_20493568.wav,1435291,Fri Jul 16 2021 04:37:15 GMT-0600 (Central Standard Time),1633.4000000059605,1
