trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Ta,47,Ta,1,soundFiles/Tamil/lp300/common_voice_ta_20056543.wav,soundFiles/Tamil/lp300/common_voice_ta_19083403.wav,292676,Fri Jul 16 2021 10:23:02 GMT+0100 (West Africa Standard Time),3255.599999994039,2
2,trial,Sp,31,Ge,12,soundFiles/Spanish/lp300/common_voice_es_18348888.wav,soundFiles/German/lp300/common_voice_de_17565482.wav,304276,Fri Jul 16 2021 10:23:14 GMT+0100 (West Africa Standard Time),1255.3999999910593,2
3,trial,Du,16,It,7,soundFiles/Dutch/lp300/common_voice_nl_17694470.wav,soundFiles/Italian/lp300/common_voice_it_17416195.wav,314212,Fri Jul 16 2021 10:23:24 GMT+0100 (West Africa Standard Time),4910.799999997021,4
4,trial,En,13,En,3,soundFiles/English/lp300/common_voice_en_22307.wav,soundFiles/English/lp300/common_voice_en_14785.wav,321668,Fri Jul 16 2021 10:23:31 GMT+0100 (West Africa Standard Time),1348.2999999970198,6
5,trial,Du,45,It,27,soundFiles/Dutch/lp300/common_voice_nl_17695804.wav,soundFiles/Italian/lp300/common_voice_it_17424839.wav,336003,Fri Jul 16 2021 10:23:45 GMT+0100 (West Africa Standard Time),1332.8999999910593,6
6,trial,Ja,26,Ja,13,soundFiles/Japanese/lp300/common_voice_ja_20841639.wav,soundFiles/Japanese/lp300/common_voice_ja_19780254.wav,343627,Fri Jul 16 2021 10:23:53 GMT+0100 (West Africa Standard Time),736.5,3
7,trial,Sp,40,Sp,35,soundFiles/Spanish/lp300/common_voice_es_18389274.wav,soundFiles/Spanish/lp300/common_voice_es_18369836.wav,352635,Fri Jul 16 2021 10:24:02 GMT+0100 (West Africa Standard Time),1124.0999999940395,6
8,trial,It,39,Ja,32,soundFiles/Italian/lp300/common_voice_it_17433572.wav,soundFiles/Japanese/lp300/common_voice_ja_21568007.wav,363738,Fri Jul 16 2021 10:24:13 GMT+0100 (West Africa Standard Time),3077.79999999702,3
9,trial,Ge,45,En,45,soundFiles/German/lp300/common_voice_de_18339255.wav,soundFiles/English/lp300/common_voice_en_34985.wav,376754,Fri Jul 16 2021 10:24:26 GMT+0100 (West Africa Standard Time),1794.1000000089407,4
10,trial,Du,38,Ta,34,soundFiles/Dutch/lp300/common_voice_nl_17695459.wav,soundFiles/Tamil/lp300/common_voice_ta_19535832.wav,386873,Fri Jul 16 2021 10:24:36 GMT+0100 (West Africa Standard Time),3704.199999988079,4
11,trial,Ge,4,Ta,18,soundFiles/German/lp300/common_voice_de_17334357.wav,soundFiles/Tamil/lp300/common_voice_ta_19310351.wav,449967,Fri Jul 16 2021 10:25:39 GMT+0100 (West Africa Standard Time),53399.0,4
12,trial,It,4,Ja,16,soundFiles/Italian/lp300/common_voice_it_17415861.wav,soundFiles/Japanese/lp300/common_voice_ja_20073039.wav,464775,Fri Jul 16 2021 10:25:54 GMT+0100 (West Africa Standard Time),1056.7999999970198,4
13,trial,Du,32,En,38,soundFiles/Dutch/lp300/common_voice_nl_17695227.wav,soundFiles/English/lp300/common_voice_en_33478.wav,474039,Fri Jul 16 2021 10:26:03 GMT+0100 (West Africa Standard Time),2039.70000000298,3
14,trial,Ge,1,Ja,14,soundFiles/German/lp300/common_voice_de_17304060.wav,soundFiles/Japanese/lp300/common_voice_ja_19817893.wav,487535,Fri Jul 16 2021 10:26:17 GMT+0100 (West Africa Standard Time),2724.4000000059605,2
15,trial,Du,30,Ge,23,soundFiles/Dutch/lp300/common_voice_nl_17695071.wav,soundFiles/German/lp300/common_voice_de_17828232.wav,498006,Fri Jul 16 2021 10:26:27 GMT+0100 (West Africa Standard Time),2978.400000005961,4
16,trial,Sp,10,Ja,38,soundFiles/Spanish/lp300/common_voice_es_18320703.wav,soundFiles/Japanese/lp300/common_voice_ja_22213379.wav,510311,Fri Jul 16 2021 10:26:40 GMT+0100 (West Africa Standard Time),4511.699999988079,6
17,trial,En,4,Ge,30,soundFiles/English/lp300/common_voice_en_16885.wav,soundFiles/German/lp300/common_voice_de_18211540.wav,520854,Fri Jul 16 2021 10:26:50 GMT+0100 (West Africa Standard Time),1855.6000000089407,4
18,trial,Sp,16,Ge,43,soundFiles/Spanish/lp300/common_voice_es_18325613.wav,soundFiles/German/lp300/common_voice_de_18334335.wav,531294,Fri Jul 16 2021 10:27:01 GMT+0100 (West Africa Standard Time),1295.5,6
19,trial,Sp,45,Ta,31,soundFiles/Spanish/lp300/common_voice_es_18438511.wav,soundFiles/Tamil/lp300/common_voice_ta_19528797.wav,542582,Fri Jul 16 2021 10:27:12 GMT+0100 (West Africa Standard Time),1551.2999999970195,3
20,trial,Du,31,Du,48,soundFiles/Dutch/lp300/common_voice_nl_17695130.wav,soundFiles/Dutch/lp300/common_voice_nl_17696067.wav,568581,Fri Jul 16 2021 10:27:38 GMT+0100 (West Africa Standard Time),2131.0999999940395,4
21,trial,It,2,It,12,soundFiles/Italian/lp300/common_voice_it_17415836.wav,soundFiles/Italian/lp300/common_voice_it_17416561.wav,580901,Fri Jul 16 2021 10:27:50 GMT+0100 (West Africa Standard Time),3812.699999988079,4
22,trial,En,31,Du,12,soundFiles/English/lp300/common_voice_en_25848.wav,soundFiles/Dutch/lp300/common_voice_nl_17694315.wav,589332,Fri Jul 16 2021 10:27:59 GMT+0100 (West Africa Standard Time),1474.8000000119212,4
23,trial,Ge,35,En,26,soundFiles/German/lp300/common_voice_de_18270213.wav,soundFiles/English/lp300/common_voice_en_25381.wav,600164,Fri Jul 16 2021 10:28:09 GMT+0100 (West Africa Standard Time),1426.0999999940395,5
24,trial,Ge,24,Ge,16,soundFiles/German/lp300/common_voice_de_17853548.wav,soundFiles/German/lp300/common_voice_de_17662346.wav,620532,Fri Jul 16 2021 10:28:30 GMT+0100 (West Africa Standard Time),11043.099999994041,5
25,trial,It,43,Ge,36,soundFiles/Italian/lp300/common_voice_it_17435406.wav,soundFiles/German/lp300/common_voice_de_18287461.wav,654116,Fri Jul 16 2021 10:29:03 GMT+0100 (West Africa Standard Time),25077.400000005957,5
26,trial,Sp,4,Ja,24,soundFiles/Spanish/lp300/common_voice_es_18311468.wav,soundFiles/Japanese/lp300/common_voice_ja_20468758.wav,666171,Fri Jul 16 2021 10:29:15 GMT+0100 (West Africa Standard Time),3801.79999999702,5
27,trial,Ta,24,Ge,15,soundFiles/Tamil/lp300/common_voice_ta_19373211.wav,soundFiles/German/lp300/common_voice_de_17655454.wav,684195,Fri Jul 16 2021 10:29:33 GMT+0100 (West Africa Standard Time),10285.70000000298,4
28,trial,En,11,It,22,soundFiles/English/lp300/common_voice_en_21000.wav,soundFiles/Italian/lp300/common_voice_it_17420554.wav,702202,Fri Jul 16 2021 10:29:51 GMT+0100 (West Africa Standard Time),5843.799999997021,5
29,trial,Ja,40,Ge,17,soundFiles/Japanese/lp300/common_voice_ja_22248681.wav,soundFiles/German/lp300/common_voice_de_17670710.wav,714178,Fri Jul 16 2021 10:30:03 GMT+0100 (West Africa Standard Time),2670.100000008941,5
30,trial,It,19,Du,42,soundFiles/Italian/lp300/common_voice_it_17420120.wav,soundFiles/Dutch/lp300/common_voice_nl_17695621.wav,729937,Fri Jul 16 2021 10:30:19 GMT+0100 (West Africa Standard Time),7789.799999997021,5
31,trial,Ja,31,Du,7,soundFiles/Japanese/lp300/common_voice_ja_21567400.wav,soundFiles/Dutch/lp300/common_voice_nl_17694052.wav,746201,Fri Jul 16 2021 10:30:35 GMT+0100 (West Africa Standard Time),7472.799999997021,4
32,trial,Sp,22,Ja,18,soundFiles/Spanish/lp300/common_voice_es_18337707.wav,soundFiles/Japanese/lp300/common_voice_ja_20073499.wav,757848,Fri Jul 16 2021 10:30:47 GMT+0100 (West Africa Standard Time),2161.1000000089407,5
33,trial,Ge,40,En,27,soundFiles/German/lp300/common_voice_de_18309108.wav,soundFiles/English/lp300/common_voice_en_25412.wav,782800,Fri Jul 16 2021 10:31:12 GMT+0100 (West Africa Standard Time),17612.40000000596,5
34,trial,Ge,33,Ge,32,soundFiles/German/lp300/common_voice_de_18228262.wav,soundFiles/German/lp300/common_voice_de_18221542.wav,793671,Fri Jul 16 2021 10:31:23 GMT+0100 (West Africa Standard Time),2212.9000000059605,4
35,trial,Ge,37,Ja,17,soundFiles/German/lp300/common_voice_de_18302858.wav,soundFiles/Japanese/lp300/common_voice_ja_20073271.wav,809983,Fri Jul 16 2021 10:31:39 GMT+0100 (West Africa Standard Time),6536.700000002979,4
36,trial,Ja,43,Sp,43,soundFiles/Japanese/lp300/common_voice_ja_22376326.wav,soundFiles/Spanish/lp300/common_voice_es_18424433.wav,820551,Fri Jul 16 2021 10:31:50 GMT+0100 (West Africa Standard Time),1833.3000000119212,4
37,trial,Ge,47,Ge,21,soundFiles/German/lp300/common_voice_de_18344291.wav,soundFiles/German/lp300/common_voice_de_17827912.wav,835319,Fri Jul 16 2021 10:32:05 GMT+0100 (West Africa Standard Time),7752.299999997021,5
38,trial,It,33,It,18,soundFiles/Italian/lp300/common_voice_it_17429496.wav,soundFiles/Italian/lp300/common_voice_it_17419421.wav,847119,Fri Jul 16 2021 10:32:16 GMT+0100 (West Africa Standard Time),1400.7000000029805,6
39,trial,En,40,Ta,7,soundFiles/English/lp300/common_voice_en_33959.wav,soundFiles/Tamil/lp300/common_voice_ta_19165158.wav,857526,Fri Jul 16 2021 10:32:27 GMT+0100 (West Africa Standard Time),1769.4000000059605,6
40,trial,En,16,Du,36,soundFiles/English/lp300/common_voice_en_22594.wav,soundFiles/Dutch/lp300/common_voice_nl_17695328.wav,1254581,Fri Jul 16 2021 10:39:04 GMT+0100 (West Africa Standard Time),1699.0,4
41,trial,Ta,37,Ta,33,soundFiles/Tamil/lp300/common_voice_ta_19634234.wav,soundFiles/Tamil/lp300/common_voice_ta_19533352.wav,1266620,Fri Jul 16 2021 10:39:16 GMT+0100 (West Africa Standard Time),1092.800000011921,2
42,trial,Ta,5,Du,27,soundFiles/Tamil/lp300/common_voice_ta_19093704.wav,soundFiles/Dutch/lp300/common_voice_nl_17694953.wav,1278492,Fri Jul 16 2021 10:39:28 GMT+0100 (West Africa Standard Time),1323.7000000029802,1
43,trial,Ta,39,Ge,39,soundFiles/Tamil/lp300/common_voice_ta_19684375.wav,soundFiles/German/lp300/common_voice_de_18306432.wav,1288500,Fri Jul 16 2021 10:39:38 GMT+0100 (West Africa Standard Time),991.4000000059604,4
44,trial,Sp,48,Sp,38,soundFiles/Spanish/lp300/common_voice_es_18465243.wav,soundFiles/Spanish/lp300/common_voice_es_18381892.wav,1301019,Fri Jul 16 2021 10:39:50 GMT+0100 (West Africa Standard Time),2341.199999988079,5
45,trial,En,36,En,37,soundFiles/English/lp300/common_voice_en_27414.wav,soundFiles/English/lp300/common_voice_en_33114.wav,1693355,Fri Jul 16 2021 10:46:23 GMT+0100 (West Africa Standard Time),382203.69999998814,3
46,trial,Du,19,Du,15,soundFiles/Dutch/lp300/common_voice_nl_17694623.wav,soundFiles/Dutch/lp300/common_voice_nl_17694437.wav,1731914,Fri Jul 16 2021 10:47:01 GMT+0100 (West Africa Standard Time),27358.700000002984,5
47,trial,Ge,20,Ge,14,soundFiles/German/lp300/common_voice_de_17812707.wav,soundFiles/German/lp300/common_voice_de_17636752.wav,1742249,Fri Jul 16 2021 10:47:12 GMT+0100 (West Africa Standard Time),1477.2999999970195,4
48,trial,Sp,25,Ge,11,soundFiles/Spanish/lp300/common_voice_es_18342228.wav,soundFiles/German/lp300/common_voice_de_17556480.wav,1763833,Fri Jul 16 2021 10:47:33 GMT+0100 (West Africa Standard Time),11318.599999994041,4
49,trial,Sp,29,It,29,soundFiles/Spanish/lp300/common_voice_es_18344847.wav,soundFiles/Italian/lp300/common_voice_it_17425822.wav,1776769,Fri Jul 16 2021 10:47:46 GMT+0100 (West Africa Standard Time),2775.600000008941,4
50,trial,It,31,It,23,soundFiles/Italian/lp300/common_voice_it_17428102.wav,soundFiles/Italian/lp300/common_voice_it_17420604.wav,1794241,Fri Jul 16 2021 10:48:04 GMT+0100 (West Africa Standard Time),6006.4000000059605,4
51,trial,Sp,7,Sp,9,soundFiles/Spanish/lp300/common_voice_es_18315644.wav,soundFiles/Spanish/lp300/common_voice_es_18319766.wav,1803488,Fri Jul 16 2021 10:48:13 GMT+0100 (West Africa Standard Time),1416.8000000119212,5
52,trial,Ta,46,En,10,soundFiles/Tamil/lp300/common_voice_ta_19969967.wav,soundFiles/English/lp300/common_voice_en_20897.wav,1814400,Fri Jul 16 2021 10:48:24 GMT+0100 (West Africa Standard Time),1947.0999999940395,6
53,trial,Ja,5,Ge,27,soundFiles/Japanese/lp300/common_voice_ja_19507538.wav,soundFiles/German/lp300/common_voice_de_18137986.wav,1824535,Fri Jul 16 2021 10:48:34 GMT+0100 (West Africa Standard Time),1993.6000000089407,5
54,trial,Ge,44,Sp,12,soundFiles/German/lp300/common_voice_de_18338470.wav,soundFiles/Spanish/lp300/common_voice_es_18322495.wav,1836568,Fri Jul 16 2021 10:48:46 GMT+0100 (West Africa Standard Time),2657.5,3
55,trial,Ja,37,Ta,21,soundFiles/Japanese/lp300/common_voice_ja_21888240.wav,soundFiles/Tamil/lp300/common_voice_ta_19340381.wav,1844671,Fri Jul 16 2021 10:48:54 GMT+0100 (West Africa Standard Time),1090.4000000059605,4
56,trial,Ge,3,Sp,44,soundFiles/German/lp300/common_voice_de_17331474.wav,soundFiles/Spanish/lp300/common_voice_es_18438309.wav,1855878,Fri Jul 16 2021 10:49:05 GMT+0100 (West Africa Standard Time),2238.7999999970198,5
57,trial,Ge,19,En,23,soundFiles/German/lp300/common_voice_de_17768611.wav,soundFiles/English/lp300/common_voice_en_25009.wav,1873406,Fri Jul 16 2021 10:49:23 GMT+0100 (West Africa Standard Time),10573.900000005959,5
58,trial,Ta,10,Ta,3,soundFiles/Tamil/lp300/common_voice_ta_19171925.wav,soundFiles/Tamil/lp300/common_voice_ta_19093453.wav,1888261,Fri Jul 16 2021 10:49:38 GMT+0100 (West Africa Standard Time),5631.09999999404,5
59,trial,It,15,Sp,2,soundFiles/Italian/lp300/common_voice_it_17416767.wav,soundFiles/Spanish/lp300/common_voice_es_18311218.wav,1899221,Fri Jul 16 2021 10:49:49 GMT+0100 (West Africa Standard Time),751.2999999970198,6
