trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Ja,40,Ta,5,soundFiles/Japanese/normalized/common_voice_ja_22248681.wav,soundFiles/Tamil/normalized/common_voice_ta_19093704.wav,195560,Tue Jun 22 2021 08:32:19 GMT-0500 (Central Daylight Time),2034.7999999821186,1
2,trial,Ja,10,En,29,soundFiles/Japanese/normalized/common_voice_ja_19763931.wav,soundFiles/English/normalized/common_voice_en_25674.wav,208531,Tue Jun 22 2021 08:32:32 GMT-0500 (Central Daylight Time),1753.3000000119212,1
3,trial,It,6,It,10,soundFiles/Italian/normalized/common_voice_it_17416011.wav,soundFiles/Italian/normalized/common_voice_it_17416492.wav,226124,Tue Jun 22 2021 08:32:50 GMT-0500 (Central Daylight Time),3116.5,3
4,trial,Sp,25,Sp,14,soundFiles/Spanish/normalized/common_voice_es_18342228.wav,soundFiles/Spanish/normalized/common_voice_es_18324374.wav,238211,Tue Jun 22 2021 08:33:02 GMT-0500 (Central Daylight Time),3183.199999988079,1
5,trial,Du,45,Sp,28,soundFiles/Dutch/normalized/common_voice_nl_17695804.wav,soundFiles/Spanish/normalized/common_voice_es_18344729.wav,248429,Tue Jun 22 2021 08:33:12 GMT-0500 (Central Daylight Time),1251.2000000178814,1
6,trial,Ja,36,Du,12,soundFiles/Japanese/normalized/common_voice_ja_21769368.wav,soundFiles/Dutch/normalized/common_voice_nl_17694315.wav,255550,Tue Jun 22 2021 08:33:19 GMT-0500 (Central Daylight Time),1692.7000000178814,1
7,trial,It,39,It,35,soundFiles/Italian/normalized/common_voice_it_17433572.wav,soundFiles/Italian/normalized/common_voice_it_17429586.wav,268383,Tue Jun 22 2021 08:33:32 GMT-0500 (Central Daylight Time),1335.9000000059605,7
8,trial,Ta,21,Ta,43,soundFiles/Tamil/normalized/common_voice_ta_19340381.wav,soundFiles/Tamil/normalized/common_voice_ta_19816099.wav,279832,Tue Jun 22 2021 08:33:44 GMT-0500 (Central Daylight Time),3485.099999994039,6
9,trial,Ja,23,Ja,33,soundFiles/Japanese/normalized/common_voice_ja_20190633.wav,soundFiles/Japanese/normalized/common_voice_ja_21595327.wav,289356,Tue Jun 22 2021 08:33:53 GMT-0500 (Central Daylight Time),1658.1000000238419,7
10,trial,It,15,Ja,25,soundFiles/Italian/normalized/common_voice_it_17416767.wav,soundFiles/Japanese/normalized/common_voice_ja_20493568.wav,300887,Tue Jun 22 2021 08:34:05 GMT-0500 (Central Daylight Time),1106.7999999821186,1
11,trial,Ge,21,It,8,soundFiles/German/normalized/common_voice_de_17827912.wav,soundFiles/Italian/normalized/common_voice_it_17416217.wav,313451,Tue Jun 22 2021 08:34:17 GMT-0500 (Central Daylight Time),1033.0,1
12,trial,En,23,Du,23,soundFiles/English/normalized/common_voice_en_25009.wav,soundFiles/Dutch/normalized/common_voice_nl_17694780.wav,320807,Tue Jun 22 2021 08:34:25 GMT-0500 (Central Daylight Time),1028.800000011921,1
