trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Du,28,Du,18,soundFiles/Dutch/normalized/common_voice_nl_17694995.wav,soundFiles/Dutch/normalized/common_voice_nl_17694569.wav,188803,Tue Jun 22 2021 06:32:24 GMT-0700 (Pacific Daylight Time),4076.2000000476837,5
2,trial,Ja,22,Ja,37,soundFiles/Japanese/normalized/common_voice_ja_20074856.wav,soundFiles/Japanese/normalized/common_voice_ja_21888240.wav,199245,Tue Jun 22 2021 06:32:35 GMT-0700 (Pacific Daylight Time),3155.800000071525,4
3,trial,Sp,19,Sp,38,soundFiles/Spanish/normalized/common_voice_es_18330680.wav,soundFiles/Spanish/normalized/common_voice_es_18381892.wav,209033,Tue Jun 22 2021 06:32:44 GMT-0700 (Pacific Daylight Time),1379.0999999046326,2
4,trial,Du,44,En,13,soundFiles/Dutch/normalized/common_voice_nl_17695706.wav,soundFiles/English/normalized/common_voice_en_22307.wav,217803,Tue Jun 22 2021 06:32:53 GMT-0700 (Pacific Daylight Time),2360.7999999523167,1
5,trial,It,23,It,43,soundFiles/Italian/normalized/common_voice_it_17420604.wav,soundFiles/Italian/normalized/common_voice_it_17435406.wav,227925,Tue Jun 22 2021 06:33:03 GMT-0700 (Pacific Daylight Time),1882.2999999523165,3
6,trial,En,41,En,26,soundFiles/English/normalized/common_voice_en_34174.wav,soundFiles/English/normalized/common_voice_en_25381.wav,240346,Tue Jun 22 2021 06:33:16 GMT-0700 (Pacific Daylight Time),2190.200000047684,3
7,trial,Ta,31,En,37,soundFiles/Tamil/normalized/common_voice_ta_19528797.wav,soundFiles/English/normalized/common_voice_en_33114.wav,252644,Tue Jun 22 2021 06:33:28 GMT-0700 (Pacific Daylight Time),1038.9000000953674,1
8,trial,Ge,30,Ta,15,soundFiles/German/normalized/common_voice_de_18211540.wav,soundFiles/Tamil/normalized/common_voice_ta_19303060.wav,261876,Tue Jun 22 2021 06:33:37 GMT-0700 (Pacific Daylight Time),1070.5999999046326,2
9,trial,Ja,17,It,4,soundFiles/Japanese/normalized/common_voice_ja_20073271.wav,soundFiles/Italian/normalized/common_voice_it_17415861.wav,275609,Tue Jun 22 2021 06:33:51 GMT-0700 (Pacific Daylight Time),1252.7000000476835,6
10,trial,Ge,48,En,25,soundFiles/German/normalized/common_voice_de_18345073.wav,soundFiles/English/normalized/common_voice_en_25282.wav,285719,Tue Jun 22 2021 06:34:01 GMT-0700 (Pacific Daylight Time),1261.5999999046326,3
11,trial,En,29,Du,47,soundFiles/English/normalized/common_voice_en_25674.wav,soundFiles/Dutch/normalized/common_voice_nl_17695958.wav,299647,Tue Jun 22 2021 06:34:15 GMT-0700 (Pacific Daylight Time),3259.199999928475,3
12,trial,Du,32,It,34,soundFiles/Dutch/normalized/common_voice_nl_17695227.wav,soundFiles/Italian/normalized/common_voice_it_17429552.wav,309501,Tue Jun 22 2021 06:34:25 GMT-0700 (Pacific Daylight Time),2593.600000023842,4
