trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Ta,22,Ta,7,soundFiles/Tamil/normalized/common_voice_ta_19341526.wav,soundFiles/Tamil/normalized/common_voice_ta_19165158.wav,769485,Tue Jun 22 2021 05:53:16 GMT-0500 (Central Daylight Time),2796.199999999255,6
2,trial,Ta,6,Ge,43,soundFiles/Tamil/normalized/common_voice_ta_19159402.wav,soundFiles/German/normalized/common_voice_de_18334335.wav,782094,Tue Jun 22 2021 05:53:28 GMT-0500 (Central Daylight Time),2706.199999999255,4
3,trial,It,42,En,22,soundFiles/Italian/normalized/common_voice_it_17435389.wav,soundFiles/English/normalized/common_voice_en_24296.wav,795432,Tue Jun 22 2021 05:53:42 GMT-0500 (Central Daylight Time),5078.199999999255,1
4,trial,Du,36,Ta,12,soundFiles/Dutch/normalized/common_voice_nl_17695328.wav,soundFiles/Tamil/normalized/common_voice_ta_19183412.wav,804727,Tue Jun 22 2021 05:53:51 GMT-0500 (Central Daylight Time),2733.0,5
5,trial,Du,34,Du,38,soundFiles/Dutch/normalized/common_voice_nl_17695284.wav,soundFiles/Dutch/normalized/common_voice_nl_17695459.wav,814812,Tue Jun 22 2021 05:54:01 GMT-0500 (Central Daylight Time),3696.199999999255,6
6,trial,Ge,28,It,35,soundFiles/German/normalized/common_voice_de_18186262.wav,soundFiles/Italian/normalized/common_voice_it_17429586.wav,827899,Tue Jun 22 2021 05:54:14 GMT-0500 (Central Daylight Time),2190.1000000014897,5
7,trial,Ja,11,Ge,4,soundFiles/Japanese/normalized/common_voice_ja_19779352.wav,soundFiles/German/normalized/common_voice_de_17334357.wav,837734,Tue Jun 22 2021 05:54:24 GMT-0500 (Central Daylight Time),2853.800000000745,3
8,trial,Ja,2,Ge,37,soundFiles/Japanese/normalized/common_voice_ja_19485592.wav,soundFiles/German/normalized/common_voice_de_18302858.wav,851297,Tue Jun 22 2021 05:54:38 GMT-0500 (Central Daylight Time),6226.199999999255,5
9,trial,It,41,Sp,36,soundFiles/Italian/normalized/common_voice_it_17435295.wav,soundFiles/Spanish/normalized/common_voice_es_18373164.wav,865193,Tue Jun 22 2021 05:54:51 GMT-0500 (Central Daylight Time),4212.900000002235,5
10,trial,Sp,14,Sp,22,soundFiles/Spanish/normalized/common_voice_es_18324374.wav,soundFiles/Spanish/normalized/common_voice_es_18337707.wav,878251,Tue Jun 22 2021 05:55:05 GMT-0500 (Central Daylight Time),2209.699999999255,6
11,trial,Ge,5,Ta,5,soundFiles/German/normalized/common_voice_de_17341144.wav,soundFiles/Tamil/normalized/common_voice_ta_19093704.wav,892403,Tue Jun 22 2021 05:55:19 GMT-0500 (Central Daylight Time),2164.199999999255,5
12,trial,Sp,34,Ge,30,soundFiles/Spanish/normalized/common_voice_es_18363244.wav,soundFiles/German/normalized/common_voice_de_18211540.wav,905360,Tue Jun 22 2021 05:55:32 GMT-0500 (Central Daylight Time),4122.900000002235,6
13,trial,It,18,Ta,11,soundFiles/Italian/normalized/common_voice_it_17419421.wav,soundFiles/Tamil/normalized/common_voice_ta_19172151.wav,919374,Tue Jun 22 2021 05:55:46 GMT-0500 (Central Daylight Time),7073.60000000149,6
14,trial,Sp,39,Ta,1,soundFiles/Spanish/normalized/common_voice_es_18385644.wav,soundFiles/Tamil/normalized/common_voice_ta_19083403.wav,930122,Tue Jun 22 2021 05:55:56 GMT-0500 (Central Daylight Time),2815.3999999985103,6
15,trial,Ta,38,Ta,4,soundFiles/Tamil/normalized/common_voice_ta_19670962.wav,soundFiles/Tamil/normalized/common_voice_ta_19093464.wav,937861,Tue Jun 22 2021 05:56:04 GMT-0500 (Central Daylight Time),837.0,6
16,trial,Ge,3,Ge,26,soundFiles/German/normalized/common_voice_de_17331474.wav,soundFiles/German/normalized/common_voice_de_18075705.wav,964011,Tue Jun 22 2021 05:56:30 GMT-0500 (Central Daylight Time),15730.0,3
17,trial,It,34,It,37,soundFiles/Italian/normalized/common_voice_it_17429552.wav,soundFiles/Italian/normalized/common_voice_it_17429633.wav,974410,Tue Jun 22 2021 05:56:41 GMT-0500 (Central Daylight Time),3230.699999999255,6
18,trial,Ta,42,En,38,soundFiles/Tamil/normalized/common_voice_ta_19761494.wav,soundFiles/English/normalized/common_voice_en_33478.wav,985576,Tue Jun 22 2021 05:56:52 GMT-0500 (Central Daylight Time),2789.900000002235,1
19,trial,Ge,48,Ge,19,soundFiles/German/normalized/common_voice_de_18345073.wav,soundFiles/German/normalized/common_voice_de_17768611.wav,997121,Tue Jun 22 2021 05:57:03 GMT-0500 (Central Daylight Time),2244.0,2
20,trial,Du,37,It,38,soundFiles/Dutch/normalized/common_voice_nl_17695410.wav,soundFiles/Italian/normalized/common_voice_it_17433550.wav,1059765,Tue Jun 22 2021 05:58:06 GMT-0500 (Central Daylight Time),6082.599999997765,6
21,trial,Ge,36,Ja,21,soundFiles/German/normalized/common_voice_de_18287461.wav,soundFiles/Japanese/normalized/common_voice_ja_20074565.wav,1071267,Tue Jun 22 2021 05:58:18 GMT-0500 (Central Daylight Time),2421.199999999255,2
22,trial,Ta,27,Ja,16,soundFiles/Tamil/normalized/common_voice_ta_19449751.wav,soundFiles/Japanese/normalized/common_voice_ja_20073039.wav,1085612,Tue Jun 22 2021 05:58:32 GMT-0500 (Central Daylight Time),2294.3999999985103,3
23,trial,Ge,40,Du,12,soundFiles/German/normalized/common_voice_de_18309108.wav,soundFiles/Dutch/normalized/common_voice_nl_17694315.wav,1094128,Tue Jun 22 2021 05:58:40 GMT-0500 (Central Daylight Time),2120.2999999970198,5
24,trial,Ta,3,Sp,5,soundFiles/Tamil/normalized/common_voice_ta_19093453.wav,soundFiles/Spanish/normalized/common_voice_es_18311729.wav,1105148,Tue Jun 22 2021 05:58:51 GMT-0500 (Central Daylight Time),2747.3999999985103,2
25,trial,Sp,3,It,3,soundFiles/Spanish/normalized/common_voice_es_18311427.wav,soundFiles/Italian/normalized/common_voice_it_17415849.wav,1114750,Tue Jun 22 2021 05:59:01 GMT-0500 (Central Daylight Time),1588.1999999992552,2
26,trial,En,12,Sp,27,soundFiles/English/normalized/common_voice_en_21029.wav,soundFiles/Spanish/normalized/common_voice_es_18343331.wav,1125571,Tue Jun 22 2021 05:59:12 GMT-0500 (Central Daylight Time),1549.89999999851,1
27,trial,Du,3,It,12,soundFiles/Dutch/normalized/common_voice_nl_17691543.wav,soundFiles/Italian/normalized/common_voice_it_17416561.wav,1137866,Tue Jun 22 2021 05:59:24 GMT-0500 (Central Daylight Time),2003.3999999985094,3
28,trial,Ja,36,Sp,6,soundFiles/Japanese/normalized/common_voice_ja_21769368.wav,soundFiles/Spanish/normalized/common_voice_es_18313989.wav,1151202,Tue Jun 22 2021 05:59:37 GMT-0500 (Central Daylight Time),3358.800000000745,3
29,trial,Du,19,En,28,soundFiles/Dutch/normalized/common_voice_nl_17694623.wav,soundFiles/English/normalized/common_voice_en_25568.wav,1164011,Tue Jun 22 2021 05:59:50 GMT-0500 (Central Daylight Time),2195.599999997765,1
30,trial,Du,24,Ta,13,soundFiles/Dutch/normalized/common_voice_nl_17694830.wav,soundFiles/Tamil/normalized/common_voice_ta_19189979.wav,1173789,Tue Jun 22 2021 06:00:00 GMT-0500 (Central Daylight Time),2972.599999997765,2
31,trial,Ta,2,En,39,soundFiles/Tamil/normalized/common_voice_ta_19083933.wav,soundFiles/English/normalized/common_voice_en_33720.wav,1181762,Tue Jun 22 2021 06:00:08 GMT-0500 (Central Daylight Time),1465.4000000022352,1
32,trial,Du,18,Ja,13,soundFiles/Dutch/normalized/common_voice_nl_17694569.wav,soundFiles/Japanese/normalized/common_voice_ja_19780254.wav,1192682,Tue Jun 22 2021 06:00:19 GMT-0500 (Central Daylight Time),3411.300000000745,1
33,trial,Ta,21,It,23,soundFiles/Tamil/normalized/common_voice_ta_19340381.wav,soundFiles/Italian/normalized/common_voice_it_17420604.wav,1202922,Tue Jun 22 2021 06:00:29 GMT-0500 (Central Daylight Time),1159.7999999970198,2
34,trial,Ta,43,It,7,soundFiles/Tamil/normalized/common_voice_ta_19816099.wav,soundFiles/Italian/normalized/common_voice_it_17416195.wav,1210705,Tue Jun 22 2021 06:00:37 GMT-0500 (Central Daylight Time),1511.1999999992552,3
35,trial,It,14,Ja,42,soundFiles/Italian/normalized/common_voice_it_17416669.wav,soundFiles/Japanese/normalized/common_voice_ja_22342435.wav,1221226,Tue Jun 22 2021 06:00:48 GMT-0500 (Central Daylight Time),1612.6999999992552,4
36,trial,Ta,40,En,26,soundFiles/Tamil/normalized/common_voice_ta_19692758.wav,soundFiles/English/normalized/common_voice_en_25381.wav,1234156,Tue Jun 22 2021 06:01:00 GMT-0500 (Central Daylight Time),2169.099999997765,1
37,trial,It,1,It,25,soundFiles/Italian/normalized/common_voice_it_17415819.wav,soundFiles/Italian/normalized/common_voice_it_17421388.wav,1242729,Tue Jun 22 2021 06:01:09 GMT-0500 (Central Daylight Time),1875.8000000007448,3
38,trial,Ja,35,En,18,soundFiles/Japanese/normalized/common_voice_ja_21765965.wav,soundFiles/English/normalized/common_voice_en_22984.wav,1254327,Tue Jun 22 2021 06:01:21 GMT-0500 (Central Daylight Time),1192.4000000022352,1
39,trial,En,4,Ta,36,soundFiles/English/normalized/common_voice_en_16885.wav,soundFiles/Tamil/normalized/common_voice_ta_19605511.wav,1263526,Tue Jun 22 2021 06:01:30 GMT-0500 (Central Daylight Time),733.0,1
40,trial,It,15,En,27,soundFiles/Italian/normalized/common_voice_it_17416767.wav,soundFiles/English/normalized/common_voice_en_25412.wav,1325314,Tue Jun 22 2021 06:02:32 GMT-0500 (Central Daylight Time),2769.699999999255,1
41,trial,Du,2,Ta,32,soundFiles/Dutch/normalized/common_voice_nl_17691514.wav,soundFiles/Tamil/normalized/common_voice_ta_19533166.wav,1335787,Tue Jun 22 2021 06:02:42 GMT-0500 (Central Daylight Time),1689.5,2
42,trial,Ge,45,Ja,17,soundFiles/German/normalized/common_voice_de_18339255.wav,soundFiles/Japanese/normalized/common_voice_ja_20073271.wav,1349498,Tue Jun 22 2021 06:02:56 GMT-0500 (Central Daylight Time),1513.60000000149,3
43,trial,Sp,7,Sp,32,soundFiles/Spanish/normalized/common_voice_es_18315644.wav,soundFiles/Spanish/normalized/common_voice_es_18353945.wav,1362201,Tue Jun 22 2021 06:03:08 GMT-0500 (Central Daylight Time),1762.3000000007448,5
44,trial,En,16,En,36,soundFiles/English/normalized/common_voice_en_22594.wav,soundFiles/English/normalized/common_voice_en_27414.wav,1373766,Tue Jun 22 2021 06:03:20 GMT-0500 (Central Daylight Time),2156.199999999255,7
45,trial,Sp,19,Ge,38,soundFiles/Spanish/normalized/common_voice_es_18330680.wav,soundFiles/German/normalized/common_voice_de_18305449.wav,1382941,Tue Jun 22 2021 06:03:29 GMT-0500 (Central Daylight Time),1965.1999999992552,6
46,trial,Ja,32,En,45,soundFiles/Japanese/normalized/common_voice_ja_21568007.wav,soundFiles/English/normalized/common_voice_en_34985.wav,1394041,Tue Jun 22 2021 06:03:40 GMT-0500 (Central Daylight Time),3543.5,1
47,trial,En,37,Du,40,soundFiles/English/normalized/common_voice_en_33114.wav,soundFiles/Dutch/normalized/common_voice_nl_17695567.wav,1410765,Tue Jun 22 2021 06:03:57 GMT-0500 (Central Daylight Time),5943.699999999255,1
48,trial,Sp,2,En,15,soundFiles/Spanish/normalized/common_voice_es_18311218.wav,soundFiles/English/normalized/common_voice_en_22440.wav,1422499,Tue Jun 22 2021 06:04:09 GMT-0500 (Central Daylight Time),3299.199999999255,1
49,trial,Ta,48,Sp,45,soundFiles/Tamil/normalized/common_voice_ta_20067016.wav,soundFiles/Spanish/normalized/common_voice_es_18438511.wav,1435448,Tue Jun 22 2021 06:04:22 GMT-0500 (Central Daylight Time),4368.699999999255,3
50,trial,Ta,47,Ta,33,soundFiles/Tamil/normalized/common_voice_ta_20056543.wav,soundFiles/Tamil/normalized/common_voice_ta_19533352.wav,1448447,Tue Jun 22 2021 06:04:35 GMT-0500 (Central Daylight Time),1805.4000000022352,4
51,trial,Ta,34,Ja,12,soundFiles/Tamil/normalized/common_voice_ta_19535832.wav,soundFiles/Japanese/normalized/common_voice_ja_19779460.wav,1457637,Tue Jun 22 2021 06:04:44 GMT-0500 (Central Daylight Time),1335.7999999970198,2
52,trial,En,19,Du,21,soundFiles/English/normalized/common_voice_en_23843.wav,soundFiles/Dutch/normalized/common_voice_nl_17694711.wav,1466300,Tue Jun 22 2021 06:04:53 GMT-0500 (Central Daylight Time),2963.599999997765,1
53,trial,Ge,29,Ge,34,soundFiles/German/normalized/common_voice_de_18200525.wav,soundFiles/German/normalized/common_voice_de_18262407.wav,1476548,Tue Jun 22 2021 06:05:03 GMT-0500 (Central Daylight Time),1767.7000000029805,5
54,trial,Du,42,Ja,7,soundFiles/Dutch/normalized/common_voice_nl_17695621.wav,soundFiles/Japanese/normalized/common_voice_ja_19534151.wav,1483695,Tue Jun 22 2021 06:05:10 GMT-0500 (Central Daylight Time),1566.6999999992552,2
55,trial,Ta,35,Ja,19,soundFiles/Tamil/normalized/common_voice_ta_19568230.wav,soundFiles/Japanese/normalized/common_voice_ja_20073782.wav,1494974,Tue Jun 22 2021 06:05:21 GMT-0500 (Central Daylight Time),2073.5,3
56,trial,Ta,31,Sp,44,soundFiles/Tamil/normalized/common_voice_ta_19528797.wav,soundFiles/Spanish/normalized/common_voice_es_18438309.wav,1509319,Tue Jun 22 2021 06:05:36 GMT-0500 (Central Daylight Time),5347.300000000745,4
57,trial,En,21,En,41,soundFiles/English/normalized/common_voice_en_24015.wav,soundFiles/English/normalized/common_voice_en_34174.wav,1520388,Tue Jun 22 2021 06:05:47 GMT-0500 (Central Daylight Time),2363.0,7
58,trial,Du,41,Du,13,soundFiles/Dutch/normalized/common_voice_nl_17695586.wav,soundFiles/Dutch/normalized/common_voice_nl_17694344.wav,1534104,Tue Jun 22 2021 06:06:00 GMT-0500 (Central Daylight Time),5490.39999999851,5
59,trial,En,11,En,10,soundFiles/English/normalized/common_voice_en_21000.wav,soundFiles/English/normalized/common_voice_en_20897.wav,1544930,Tue Jun 22 2021 06:06:11 GMT-0500 (Central Daylight Time),1734.1999999992552,7
60,trial,Ja,41,Ja,46,soundFiles/Japanese/normalized/common_voice_ja_22311505.wav,soundFiles/Japanese/normalized/common_voice_ja_22621011.wav,1607872,Tue Jun 22 2021 06:07:14 GMT-0500 (Central Daylight Time),12525.0,6
61,trial,It,32,En,6,soundFiles/Italian/normalized/common_voice_it_17429468.wav,soundFiles/English/normalized/common_voice_en_18430.wav,1616013,Tue Jun 22 2021 06:07:22 GMT-0500 (Central Daylight Time),1387.3000000007448,1
62,trial,Ta,16,En,14,soundFiles/Tamil/normalized/common_voice_ta_19305293.wav,soundFiles/English/normalized/common_voice_en_22431.wav,1625904,Tue Jun 22 2021 06:07:32 GMT-0500 (Central Daylight Time),1043.1000000014901,1
63,trial,Ta,9,Sp,12,soundFiles/Tamil/normalized/common_voice_ta_19171568.wav,soundFiles/Spanish/normalized/common_voice_es_18322495.wav,1637684,Tue Jun 22 2021 06:07:44 GMT-0500 (Central Daylight Time),2333.0,6
64,trial,Sp,43,Sp,41,soundFiles/Spanish/normalized/common_voice_es_18424433.wav,soundFiles/Spanish/normalized/common_voice_es_18404696.wav,1651096,Tue Jun 22 2021 06:07:57 GMT-0500 (Central Daylight Time),2478.8999999985103,6
65,trial,It,24,Ja,1,soundFiles/Italian/normalized/common_voice_it_17420755.wav,soundFiles/Japanese/normalized/common_voice_ja_19485250.wav,1661455,Tue Jun 22 2021 06:08:08 GMT-0500 (Central Daylight Time),2692.6000000014897,5
66,trial,Sp,37,Sp,10,soundFiles/Spanish/normalized/common_voice_es_18376956.wav,soundFiles/Spanish/normalized/common_voice_es_18320703.wav,1673161,Tue Jun 22 2021 06:08:19 GMT-0500 (Central Daylight Time),1876.6999999992552,5
67,trial,It,27,It,30,soundFiles/Italian/normalized/common_voice_it_17424839.wav,soundFiles/Italian/normalized/common_voice_it_17426051.wav,1694801,Tue Jun 22 2021 06:08:41 GMT-0500 (Central Daylight Time),3957.699999999255,6
68,trial,Ja,25,Ja,43,soundFiles/Japanese/normalized/common_voice_ja_20493568.wav,soundFiles/Japanese/normalized/common_voice_ja_22376326.wav,1704410,Tue Jun 22 2021 06:08:51 GMT-0500 (Central Daylight Time),1546.7000000029805,2
