trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Sp,18,Sp,9,soundFiles/Spanish/normalized/common_voice_es_18326665.wav,soundFiles/Spanish/normalized/common_voice_es_18319766.wav,232095,Tue Jun 22 2021 07:05:30 GMT-0400 (Eastern Daylight Time),1240.899999976158,7
2,trial,Sp,22,Ja,3,soundFiles/Spanish/normalized/common_voice_es_18337707.wav,soundFiles/Japanese/normalized/common_voice_ja_19486649.wav,244335,Tue Jun 22 2021 07:05:42 GMT-0400 (Eastern Daylight Time),1561.2999999523165,1
3,trial,It,18,En,2,soundFiles/Italian/normalized/common_voice_it_17419421.wav,soundFiles/English/normalized/common_voice_en_13705.wav,251763,Tue Jun 22 2021 07:05:49 GMT-0400 (Eastern Daylight Time),876.0,1
4,trial,Du,44,En,37,soundFiles/Dutch/normalized/common_voice_nl_17695706.wav,soundFiles/English/normalized/common_voice_en_33114.wav,262711,Tue Jun 22 2021 07:06:00 GMT-0400 (Eastern Daylight Time),1395.5,1
5,trial,Ta,17,It,40,soundFiles/Tamil/normalized/common_voice_ta_19305358.wav,soundFiles/Italian/normalized/common_voice_it_17434159.wav,275319,Tue Jun 22 2021 07:06:13 GMT-0400 (Eastern Daylight Time),1744.3999999761581,2
6,trial,Ja,24,Ja,44,soundFiles/Japanese/normalized/common_voice_ja_20468758.wav,soundFiles/Japanese/normalized/common_voice_ja_22467415.wav,283815,Tue Jun 22 2021 07:06:21 GMT-0400 (Eastern Daylight Time),1929.8000000119212,6
7,trial,Ge,33,Ta,20,soundFiles/German/normalized/common_voice_de_18228262.wav,soundFiles/Tamil/normalized/common_voice_ta_19340119.wav,294039,Tue Jun 22 2021 07:06:32 GMT-0400 (Eastern Daylight Time),1304.399999976158,2
8,trial,Sp,31,Ge,25,soundFiles/Spanish/normalized/common_voice_es_18348888.wav,soundFiles/German/normalized/common_voice_de_17884551.wav,304547,Tue Jun 22 2021 07:06:42 GMT-0400 (Eastern Daylight Time),1022.3000000119208,2
9,trial,Du,45,Ta,32,soundFiles/Dutch/normalized/common_voice_nl_17695804.wav,soundFiles/Tamil/normalized/common_voice_ta_19533166.wav,316327,Tue Jun 22 2021 07:06:54 GMT-0400 (Eastern Daylight Time),881.8999999761581,3
10,trial,Ta,15,Sp,11,soundFiles/Tamil/normalized/common_voice_ta_19303060.wav,soundFiles/Spanish/normalized/common_voice_es_18321002.wav,327023,Tue Jun 22 2021 07:07:04 GMT-0400 (Eastern Daylight Time),1616.5999999642374,1
11,trial,Ta,1,Ge,23,soundFiles/Tamil/normalized/common_voice_ta_19083403.wav,soundFiles/German/normalized/common_voice_de_17828232.wav,335251,Tue Jun 22 2021 07:07:13 GMT-0400 (Eastern Daylight Time),765.6000000238419,3
12,trial,Sp,27,Du,7,soundFiles/Spanish/normalized/common_voice_es_18343331.wav,soundFiles/Dutch/normalized/common_voice_nl_17694052.wav,346626,Tue Jun 22 2021 07:07:24 GMT-0400 (Eastern Daylight Time),2091.5,3
13,trial,Ja,7,Ja,9,soundFiles/Japanese/normalized/common_voice_ja_19534151.wav,soundFiles/Japanese/normalized/common_voice_ja_19712330.wav,354155,Tue Jun 22 2021 07:07:32 GMT-0400 (Eastern Daylight Time),1899.8999999761581,6
14,trial,Du,21,Du,38,soundFiles/Dutch/normalized/common_voice_nl_17694711.wav,soundFiles/Dutch/normalized/common_voice_nl_17695459.wav,361387,Tue Jun 22 2021 07:07:39 GMT-0400 (Eastern Daylight Time),1941.6999999880788,4
15,trial,It,3,Ta,41,soundFiles/Italian/normalized/common_voice_it_17415849.wav,soundFiles/Tamil/normalized/common_voice_ta_19693202.wav,372635,Tue Jun 22 2021 07:07:50 GMT-0400 (Eastern Daylight Time),2430.100000023842,3
16,trial,Ge,26,Ja,1,soundFiles/German/normalized/common_voice_de_18075705.wav,soundFiles/Japanese/normalized/common_voice_ja_19485250.wav,383899,Tue Jun 22 2021 07:08:01 GMT-0400 (Eastern Daylight Time),1654.1000000238419,1
17,trial,Ge,32,En,40,soundFiles/German/normalized/common_voice_de_18221542.wav,soundFiles/English/normalized/common_voice_en_33959.wav,392407,Tue Jun 22 2021 07:08:10 GMT-0400 (Eastern Daylight Time),981.9000000357628,1
18,trial,Ge,36,Sp,46,soundFiles/German/normalized/common_voice_de_18287461.wav,soundFiles/Spanish/normalized/common_voice_es_18453794.wav,404159,Tue Jun 22 2021 07:08:22 GMT-0400 (Eastern Daylight Time),783.8000000119209,2
19,trial,Ta,30,Du,26,soundFiles/Tamil/normalized/common_voice_ta_19523221.wav,soundFiles/Dutch/normalized/common_voice_nl_17694904.wav,412979,Tue Jun 22 2021 07:08:30 GMT-0400 (Eastern Daylight Time),2122.899999976158,2
20,trial,Ge,10,Ge,15,soundFiles/German/normalized/common_voice_de_17491127.wav,soundFiles/German/normalized/common_voice_de_17655454.wav,438671,Tue Jun 22 2021 07:08:56 GMT-0400 (Eastern Daylight Time),1425.8999999761581,4
21,trial,Ge,5,En,15,soundFiles/German/normalized/common_voice_de_17341144.wav,soundFiles/English/normalized/common_voice_en_22440.wav,449163,Tue Jun 22 2021 07:09:07 GMT-0400 (Eastern Daylight Time),997.5,1
22,trial,En,20,En,33,soundFiles/English/normalized/common_voice_en_23918.wav,soundFiles/English/normalized/common_voice_en_26602.wav,460195,Tue Jun 22 2021 07:09:18 GMT-0400 (Eastern Daylight Time),979.399999976158,7
