trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,En,13,Sp,7,soundFiles/English/normalized/common_voice_en_22307.wav,soundFiles/Spanish/normalized/common_voice_es_18315644.wav,229458,Tue Jun 22 2021 07:34:52 GMT-0400 (Eastern Daylight Time),1035.100000023842,1
2,trial,Sp,2,Sp,38,soundFiles/Spanish/normalized/common_voice_es_18311218.wav,soundFiles/Spanish/normalized/common_voice_es_18381892.wav,241350,Tue Jun 22 2021 07:35:04 GMT-0400 (Eastern Daylight Time),2697.0999999940395,1
3,trial,It,14,Ta,8,soundFiles/Italian/normalized/common_voice_it_17416669.wav,soundFiles/Tamil/normalized/common_voice_ta_19171508.wav,251424,Tue Jun 22 2021 07:35:14 GMT-0400 (Eastern Daylight Time),1161.2000000178814,6
4,trial,Ta,25,Ta,28,soundFiles/Tamil/normalized/common_voice_ta_19385685.wav,soundFiles/Tamil/normalized/common_voice_ta_19523086.wav,260344,Tue Jun 22 2021 07:35:23 GMT-0400 (Eastern Daylight Time),1291.100000023842,5
5,trial,Ge,22,Du,36,soundFiles/German/normalized/common_voice_de_17828180.wav,soundFiles/Dutch/normalized/common_voice_nl_17695328.wav,269791,Tue Jun 22 2021 07:35:32 GMT-0400 (Eastern Daylight Time),2498.200000017881,1
6,trial,Du,26,Ge,46,soundFiles/Dutch/normalized/common_voice_nl_17694904.wav,soundFiles/German/normalized/common_voice_de_18341643.wav,281257,Tue Jun 22 2021 07:35:44 GMT-0400 (Eastern Daylight Time),4193.800000011921,1
7,trial,Sp,45,Ta,35,soundFiles/Spanish/normalized/common_voice_es_18438511.wav,soundFiles/Tamil/normalized/common_voice_ta_19568230.wav,290986,Tue Jun 22 2021 07:35:54 GMT-0400 (Eastern Daylight Time),1012.9000000059604,1
8,trial,Ge,30,Ge,20,soundFiles/German/normalized/common_voice_de_18211540.wav,soundFiles/German/normalized/common_voice_de_17812707.wav,302400,Tue Jun 22 2021 07:36:05 GMT-0400 (Eastern Daylight Time),2737.100000023842,6
9,trial,Du,21,Ja,33,soundFiles/Dutch/normalized/common_voice_nl_17694711.wav,soundFiles/Japanese/normalized/common_voice_ja_21595327.wav,309071,Tue Jun 22 2021 07:36:12 GMT-0400 (Eastern Daylight Time),1167.600000023842,1
10,trial,Du,11,Du,3,soundFiles/Dutch/normalized/common_voice_nl_17694241.wav,soundFiles/Dutch/normalized/common_voice_nl_17691543.wav,320662,Tue Jun 22 2021 07:36:23 GMT-0400 (Eastern Daylight Time),3098.900000005961,1
