trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Ge,19,Ge,44,soundFiles/German/normalized/common_voice_de_17768611.wav,soundFiles/German/normalized/common_voice_de_18338470.wav,1111509,Tue Jun 22 2021 15:40:23 GMT+0100 (West Africa Standard Time),2564.0,6
2,trial,En,16,Ge,24,soundFiles/English/normalized/common_voice_en_22594.wav,soundFiles/German/normalized/common_voice_de_17853548.wav,1124646,Tue Jun 22 2021 15:40:36 GMT+0100 (West Africa Standard Time),1562.0,1
3,trial,It,6,It,1,soundFiles/Italian/normalized/common_voice_it_17416011.wav,soundFiles/Italian/normalized/common_voice_it_17415819.wav,1136331,Tue Jun 22 2021 15:40:48 GMT+0100 (West Africa Standard Time),1737.0,7
4,trial,Ta,43,Ta,33,soundFiles/Tamil/normalized/common_voice_ta_19816099.wav,soundFiles/Tamil/normalized/common_voice_ta_19533352.wav,1148977,Tue Jun 22 2021 15:41:00 GMT+0100 (West Africa Standard Time),1452.0,2
5,trial,Ja,11,Ta,2,soundFiles/Japanese/normalized/common_voice_ja_19779352.wav,soundFiles/Tamil/normalized/common_voice_ta_19083933.wav,1158707,Tue Jun 22 2021 15:41:10 GMT+0100 (West Africa Standard Time),3480.0,4
6,trial,Ja,27,Ja,44,soundFiles/Japanese/normalized/common_voice_ja_20847167.wav,soundFiles/Japanese/normalized/common_voice_ja_22467415.wav,1166468,Tue Jun 22 2021 15:41:18 GMT+0100 (West Africa Standard Time),1612.0,1
7,trial,Ja,28,Ge,41,soundFiles/Japanese/normalized/common_voice_ja_21059511.wav,soundFiles/German/normalized/common_voice_de_18324600.wav,1176963,Tue Jun 22 2021 15:41:28 GMT+0100 (West Africa Standard Time),595.0,1
8,trial,Ge,31,Sp,9,soundFiles/German/normalized/common_voice_de_18217691.wav,soundFiles/Spanish/normalized/common_voice_es_18319766.wav,1188651,Tue Jun 22 2021 15:41:40 GMT+0100 (West Africa Standard Time),3872.0,3
9,trial,Ja,4,Ta,30,soundFiles/Japanese/normalized/common_voice_ja_19507460.wav,soundFiles/Tamil/normalized/common_voice_ta_19523221.wav,1201287,Tue Jun 22 2021 15:41:53 GMT+0100 (West Africa Standard Time),2962.0,2
10,trial,Du,38,Du,40,soundFiles/Dutch/normalized/common_voice_nl_17695459.wav,soundFiles/Dutch/normalized/common_voice_nl_17695567.wav,1210502,Tue Jun 22 2021 15:42:02 GMT+0100 (West Africa Standard Time),2114.0,6
11,trial,It,32,Du,1,soundFiles/Italian/normalized/common_voice_it_17429468.wav,soundFiles/Dutch/normalized/common_voice_nl_17691034.wav,1218617,Tue Jun 22 2021 15:42:10 GMT+0100 (West Africa Standard Time),1334.0,1
12,trial,En,38,It,45,soundFiles/English/normalized/common_voice_en_33478.wav,soundFiles/Italian/normalized/common_voice_it_17437171.wav,1230645,Tue Jun 22 2021 15:42:22 GMT+0100 (West Africa Standard Time),3383.0,4
13,trial,Ja,26,En,7,soundFiles/Japanese/normalized/common_voice_ja_20841639.wav,soundFiles/English/normalized/common_voice_en_18884.wav,1241997,Tue Jun 22 2021 15:42:33 GMT+0100 (West Africa Standard Time),3427.0,1
14,trial,Ta,14,Du,11,soundFiles/Tamil/normalized/common_voice_ta_19195637.wav,soundFiles/Dutch/normalized/common_voice_nl_17694241.wav,1251363,Tue Jun 22 2021 15:42:43 GMT+0100 (West Africa Standard Time),1503.0,1
15,trial,En,31,En,48,soundFiles/English/normalized/common_voice_en_25848.wav,soundFiles/English/normalized/common_voice_en_3879.wav,1260244,Tue Jun 22 2021 15:42:51 GMT+0100 (West Africa Standard Time),1299.0,7
16,trial,Ge,43,En,45,soundFiles/German/normalized/common_voice_de_18334335.wav,soundFiles/English/normalized/common_voice_en_34985.wav,1270932,Tue Jun 22 2021 15:43:02 GMT+0100 (West Africa Standard Time),1192.0,1
17,trial,Ja,31,It,3,soundFiles/Japanese/normalized/common_voice_ja_21567400.wav,soundFiles/Italian/normalized/common_voice_it_17415849.wav,1281434,Tue Jun 22 2021 15:43:13 GMT+0100 (West Africa Standard Time),1592.0,1
18,trial,En,37,En,30,soundFiles/English/normalized/common_voice_en_33114.wav,soundFiles/English/normalized/common_voice_en_25792.wav,1292838,Tue Jun 22 2021 15:43:24 GMT+0100 (West Africa Standard Time),1340.0,7
19,trial,Sp,40,Ge,28,soundFiles/Spanish/normalized/common_voice_es_18389274.wav,soundFiles/German/normalized/common_voice_de_18186262.wav,1319423,Tue Jun 22 2021 15:43:51 GMT+0100 (West Africa Standard Time),17719.0,4
20,trial,Du,19,Sp,46,soundFiles/Dutch/normalized/common_voice_nl_17694623.wav,soundFiles/Spanish/normalized/common_voice_es_18453794.wav,1343109,Tue Jun 22 2021 15:44:14 GMT+0100 (West Africa Standard Time),1886.0,1
21,trial,Ge,13,En,14,soundFiles/German/normalized/common_voice_de_17631604.wav,soundFiles/English/normalized/common_voice_en_22431.wav,1353062,Tue Jun 22 2021 15:44:24 GMT+0100 (West Africa Standard Time),578.0,1
22,trial,It,26,Ge,22,soundFiles/Italian/normalized/common_voice_it_17421440.wav,soundFiles/German/normalized/common_voice_de_17828180.wav,1363261,Tue Jun 22 2021 15:44:35 GMT+0100 (West Africa Standard Time),2790.0,4
23,trial,Ta,16,Ta,23,soundFiles/Tamil/normalized/common_voice_ta_19305293.wav,soundFiles/Tamil/normalized/common_voice_ta_19346692.wav,1376663,Tue Jun 22 2021 15:44:48 GMT+0100 (West Africa Standard Time),6426.0,3
24,trial,It,36,Ja,46,soundFiles/Italian/normalized/common_voice_it_17429617.wav,soundFiles/Japanese/normalized/common_voice_ja_22621011.wav,1388915,Tue Jun 22 2021 15:45:00 GMT+0100 (West Africa Standard Time),1790.0,7
25,trial,Ja,41,Ta,31,soundFiles/Japanese/normalized/common_voice_ja_22311505.wav,soundFiles/Tamil/normalized/common_voice_ta_19528797.wav,1406764,Tue Jun 22 2021 15:45:18 GMT+0100 (West Africa Standard Time),8286.0,4
26,trial,Du,2,Ta,37,soundFiles/Dutch/normalized/common_voice_nl_17691514.wav,soundFiles/Tamil/normalized/common_voice_ta_19634234.wav,1416131,Tue Jun 22 2021 15:45:27 GMT+0100 (West Africa Standard Time),2951.0,3
27,trial,Sp,26,Ja,30,soundFiles/Spanish/normalized/common_voice_es_18342814.wav,soundFiles/Japanese/normalized/common_voice_ja_21560575.wav,1428429,Tue Jun 22 2021 15:45:40 GMT+0100 (West Africa Standard Time),3679.0,6
28,trial,Ge,3,Ta,6,soundFiles/German/normalized/common_voice_de_17331474.wav,soundFiles/Tamil/normalized/common_voice_ta_19159402.wav,1442233,Tue Jun 22 2021 15:45:53 GMT+0100 (West Africa Standard Time),3771.0,5
