trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Du,17,Ja,46,soundFiles/Dutch/normalized/common_voice_nl_17694507.wav,soundFiles/Japanese/normalized/common_voice_ja_22621011.wav,421166,Tue Jun 22 2021 14:44:23 GMT+0100 (British Summer Time),2747.9000000003725,1
2,trial,Ta,29,Sp,45,soundFiles/Tamil/normalized/common_voice_ta_19523147.wav,soundFiles/Spanish/normalized/common_voice_es_18438511.wav,431850,Tue Jun 22 2021 14:44:34 GMT+0100 (British Summer Time),2704.5999999996275,7
3,trial,Du,1,En,6,soundFiles/Dutch/normalized/common_voice_nl_17691034.wav,soundFiles/English/normalized/common_voice_en_18430.wav,439087,Tue Jun 22 2021 14:44:41 GMT+0100 (British Summer Time),929.9000000003723,1
4,trial,En,33,Ja,48,soundFiles/English/normalized/common_voice_en_26602.wav,soundFiles/Japanese/normalized/common_voice_ja_23555409.wav,453267,Tue Jun 22 2021 14:44:55 GMT+0100 (British Summer Time),1514.3000000007448,1
5,trial,En,44,It,9,soundFiles/English/normalized/common_voice_en_34810.wav,soundFiles/Italian/normalized/common_voice_it_17416256.wav,469332,Tue Jun 22 2021 14:45:11 GMT+0100 (British Summer Time),2528.5999999996275,1
6,trial,Sp,42,It,13,soundFiles/Spanish/normalized/common_voice_es_18413601.wav,soundFiles/Italian/normalized/common_voice_it_17416611.wav,477810,Tue Jun 22 2021 14:45:20 GMT+0100 (British Summer Time),1291.7000000011176,7
7,trial,Du,25,Du,31,soundFiles/Dutch/normalized/common_voice_nl_17694858.wav,soundFiles/Dutch/normalized/common_voice_nl_17695130.wav,485050,Tue Jun 22 2021 14:45:27 GMT+0100 (British Summer Time),2082.300000000745,1
8,trial,En,21,En,11,soundFiles/English/normalized/common_voice_en_24015.wav,soundFiles/English/normalized/common_voice_en_21000.wav,494903,Tue Jun 22 2021 14:45:37 GMT+0100 (British Summer Time),1899.8000000007448,7
9,trial,It,46,Sp,18,soundFiles/Italian/normalized/common_voice_it_17437423.wav,soundFiles/Spanish/normalized/common_voice_es_18326665.wav,505234,Tue Jun 22 2021 14:45:47 GMT+0100 (British Summer Time),1043.9000000003723,7
10,trial,En,34,Sp,1,soundFiles/English/normalized/common_voice_en_26746.wav,soundFiles/Spanish/normalized/common_voice_es_18311034.wav,514682,Tue Jun 22 2021 14:45:57 GMT+0100 (British Summer Time),1060.0999999996277,1
11,trial,Sp,40,Du,9,soundFiles/Spanish/normalized/common_voice_es_18389274.wav,soundFiles/Dutch/normalized/common_voice_nl_17694132.wav,525233,Tue Jun 22 2021 14:46:07 GMT+0100 (British Summer Time),2230.699999999255,7
12,trial,Du,42,Ta,26,soundFiles/Dutch/normalized/common_voice_nl_17695621.wav,soundFiles/Tamil/normalized/common_voice_ta_19422364.wav,532094,Tue Jun 22 2021 14:46:14 GMT+0100 (British Summer Time),1159.3000000007448,1
13,trial,Du,11,Ja,24,soundFiles/Dutch/normalized/common_voice_nl_17694241.wav,soundFiles/Japanese/normalized/common_voice_ja_20468758.wav,545609,Tue Jun 22 2021 14:46:28 GMT+0100 (British Summer Time),6679.5999999996275,1
