trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,Sp,12,Ta,48,soundFiles/Spanish/normalized/common_voice_es_18322495.wav,soundFiles/Tamil/normalized/common_voice_ta_20067016.wav,411178,Tue Jun 22 2021 14:38:37 GMT+0100 (West Africa Standard Time),1854.8399999999676,1
2,trial,Ge,4,En,24,soundFiles/German/normalized/common_voice_de_17334357.wav,soundFiles/English/normalized/common_voice_en_25186.wav,420397,Tue Jun 22 2021 14:38:46 GMT+0100 (West Africa Standard Time),2020.7950000003912,1
3,trial,Ta,41,Ja,36,soundFiles/Tamil/normalized/common_voice_ta_19693202.wav,soundFiles/Japanese/normalized/common_voice_ja_21769368.wav,431593,Tue Jun 22 2021 14:38:58 GMT+0100 (West Africa Standard Time),4061.3850000008815,1
4,trial,Du,17,Ta,6,soundFiles/Dutch/normalized/common_voice_nl_17694507.wav,soundFiles/Tamil/normalized/common_voice_ta_19159402.wav,441271,Tue Jun 22 2021 14:39:07 GMT+0100 (West Africa Standard Time),1774.015000000887,7
5,trial,Ta,35,Ge,12,soundFiles/Tamil/normalized/common_voice_ta_19568230.wav,soundFiles/German/normalized/common_voice_de_17565482.wav,460370,Tue Jun 22 2021 14:39:26 GMT+0100 (West Africa Standard Time),9311.319999998901,5
6,trial,Ja,11,Du,30,soundFiles/Japanese/normalized/common_voice_ja_19779352.wav,soundFiles/Dutch/normalized/common_voice_nl_17695071.wav,473276,Tue Jun 22 2021 14:39:39 GMT+0100 (West Africa Standard Time),6221.985000000162,1
7,trial,Ge,24,Ja,7,soundFiles/German/normalized/common_voice_de_17853548.wav,soundFiles/Japanese/normalized/common_voice_ja_19534151.wav,483653,Tue Jun 22 2021 14:39:50 GMT+0100 (West Africa Standard Time),1554.845000000554,1
8,trial,Ta,17,Ge,10,soundFiles/Tamil/normalized/common_voice_ta_19305358.wav,soundFiles/German/normalized/common_voice_de_17491127.wav,495091,Tue Jun 22 2021 14:40:01 GMT+0100 (West Africa Standard Time),1966.1500000001402,7
9,trial,Sp,32,En,48,soundFiles/Spanish/normalized/common_voice_es_18353945.wav,soundFiles/English/normalized/common_voice_en_3879.wav,506794,Tue Jun 22 2021 14:40:13 GMT+0100 (West Africa Standard Time),2186.789999999746,1
10,trial,It,47,Ja,28,soundFiles/Italian/normalized/common_voice_it_17437768.wav,soundFiles/Japanese/normalized/common_voice_ja_21059511.wav,520997,Tue Jun 22 2021 14:40:27 GMT+0100 (West Africa Standard Time),5728.5350000002645,7
11,trial,En,7,Sp,44,soundFiles/English/normalized/common_voice_en_18884.wav,soundFiles/Spanish/normalized/common_voice_es_18438309.wav,531131,Tue Jun 22 2021 14:40:37 GMT+0100 (West Africa Standard Time),1558.3100000004054,1
12,trial,Ta,30,Ja,30,soundFiles/Tamil/normalized/common_voice_ta_19523221.wav,soundFiles/Japanese/normalized/common_voice_ja_21560575.wav,545532,Tue Jun 22 2021 14:40:52 GMT+0100 (West Africa Standard Time),7793.924999999929,1
13,trial,Sp,40,It,6,soundFiles/Spanish/normalized/common_voice_es_18389274.wav,soundFiles/Italian/normalized/common_voice_it_17416011.wav,559326,Tue Jun 22 2021 14:41:05 GMT+0100 (West Africa Standard Time),2515.6050000005635,7
14,trial,Ja,2,It,44,soundFiles/Japanese/normalized/common_voice_ja_19485592.wav,soundFiles/Italian/normalized/common_voice_it_17437119.wav,570655,Tue Jun 22 2021 14:41:17 GMT+0100 (West Africa Standard Time),3599.5250000014203,7
