trial number,data_type,L1,Excerpt1,L2,Excerpt2,Stimulus1,Stimulus2,time_elapsed,timestamp,rt,response
1,trial,En,16,En,39,soundFiles/English/normalized/common_voice_en_22594.wav,soundFiles/English/normalized/common_voice_en_33720.wav,180000,Tue Jun 22 2021 09:57:34 GMT-0400 (Eastern Daylight Time),1292.7449999842793,7
2,trial,Ta,46,Ta,10,soundFiles/Tamil/normalized/common_voice_ta_19969967.wav,soundFiles/Tamil/normalized/common_voice_ta_19171925.wav,190977,Tue Jun 22 2021 09:57:45 GMT-0400 (Eastern Daylight Time),1085.7949999626726,5
3,trial,Ge,2,Ja,27,soundFiles/German/normalized/common_voice_de_17322711.wav,soundFiles/Japanese/normalized/common_voice_ja_20847167.wav,199336,Tue Jun 22 2021 09:57:54 GMT-0400 (Eastern Daylight Time),1099.415000062436,1
4,trial,En,31,It,25,soundFiles/English/normalized/common_voice_en_25848.wav,soundFiles/Italian/normalized/common_voice_it_17421388.wav,208545,Tue Jun 22 2021 09:58:03 GMT-0400 (Eastern Daylight Time),953.8100000936537,1
5,trial,Ge,5,Du,19,soundFiles/German/normalized/common_voice_de_17341144.wav,soundFiles/Dutch/normalized/common_voice_nl_17694623.wav,221565,Tue Jun 22 2021 09:58:16 GMT-0400 (Eastern Daylight Time),1169.2100001964718,5
6,trial,En,44,En,45,soundFiles/English/normalized/common_voice_en_34810.wav,soundFiles/English/normalized/common_voice_en_34985.wav,235096,Tue Jun 22 2021 09:58:30 GMT-0400 (Eastern Daylight Time),1027.6000001467764,7
7,trial,Du,15,Du,14,soundFiles/Dutch/normalized/common_voice_nl_17694437.wav,soundFiles/Dutch/normalized/common_voice_nl_17694387.wav,244501,Tue Jun 22 2021 09:58:39 GMT-0400 (Eastern Daylight Time),977.1149998996408,6
8,trial,Ta,28,Ta,35,soundFiles/Tamil/normalized/common_voice_ta_19523086.wav,soundFiles/Tamil/normalized/common_voice_ta_19568230.wav,253346,Tue Jun 22 2021 09:58:48 GMT-0400 (Eastern Daylight Time),1475.404999917373,5
9,trial,Du,34,Du,4,soundFiles/Dutch/normalized/common_voice_nl_17695284.wav,soundFiles/Dutch/normalized/common_voice_nl_17693521.wav,266387,Tue Jun 22 2021 09:59:01 GMT-0400 (Eastern Daylight Time),1071.1300000548365,6
10,trial,Sp,25,Ta,27,soundFiles/Spanish/normalized/common_voice_es_18342228.wav,soundFiles/Tamil/normalized/common_voice_ta_19449751.wav,276876,Tue Jun 22 2021 09:59:11 GMT-0400 (Eastern Daylight Time),825.0200001057237,3
11,trial,Du,32,Du,33,soundFiles/Dutch/normalized/common_voice_nl_17695227.wav,soundFiles/Dutch/normalized/common_voice_nl_17695254.wav,284865,Tue Jun 22 2021 09:59:19 GMT-0400 (Eastern Daylight Time),946.544999955222,5
12,trial,It,30,En,8,soundFiles/Italian/normalized/common_voice_it_17426051.wav,soundFiles/English/normalized/common_voice_en_20483.wav,299004,Tue Jun 22 2021 09:59:33 GMT-0400 (Eastern Daylight Time),1241.5899999905378,1
13,trial,Ja,36,Du,26,soundFiles/Japanese/normalized/common_voice_ja_21769368.wav,soundFiles/Dutch/normalized/common_voice_nl_17694904.wav,306953,Tue Jun 22 2021 09:59:41 GMT-0400 (Eastern Daylight Time),1768.9750001300124,3
14,trial,Ta,14,Du,39,soundFiles/Tamil/normalized/common_voice_ta_19195637.wav,soundFiles/Dutch/normalized/common_voice_nl_17695502.wav,315572,Tue Jun 22 2021 09:59:50 GMT-0400 (Eastern Daylight Time),971.0949999280274,5
15,trial,Ge,27,Du,36,soundFiles/German/normalized/common_voice_de_18137986.wav,soundFiles/Dutch/normalized/common_voice_nl_17695328.wav,323998,Tue Jun 22 2021 09:59:58 GMT-0400 (Eastern Daylight Time),917.7900000941008,5
16,trial,It,23,Ta,23,soundFiles/Italian/normalized/common_voice_it_17420604.wav,soundFiles/Tamil/normalized/common_voice_ta_19346692.wav,333001,Tue Jun 22 2021 10:00:07 GMT-0400 (Eastern Daylight Time),991.6550000198184,5
17,trial,En,19,It,43,soundFiles/English/normalized/common_voice_en_23843.wav,soundFiles/Italian/normalized/common_voice_it_17435406.wav,340829,Tue Jun 22 2021 10:00:15 GMT-0400 (Eastern Daylight Time),1462.96999999322,1
18,trial,Du,40,Ge,43,soundFiles/Dutch/normalized/common_voice_nl_17695567.wav,soundFiles/German/normalized/common_voice_de_18334335.wav,350585,Tue Jun 22 2021 10:00:25 GMT-0400 (Eastern Daylight Time),694.2800001706928,6
19,trial,Sp,42,Du,8,soundFiles/Spanish/normalized/common_voice_es_18413601.wav,soundFiles/Dutch/normalized/common_voice_nl_17694090.wav,359473,Tue Jun 22 2021 10:00:34 GMT-0400 (Eastern Daylight Time),1203.8150001317265,4
20,trial,Du,6,It,6,soundFiles/Dutch/normalized/common_voice_nl_17694005.wav,soundFiles/Italian/normalized/common_voice_it_17416011.wav,415926,Tue Jun 22 2021 10:01:30 GMT-0400 (Eastern Daylight Time),1289.8799998220054,2
21,trial,Ja,14,Ge,10,soundFiles/Japanese/normalized/common_voice_ja_19817893.wav,soundFiles/German/normalized/common_voice_de_17491127.wav,427052,Tue Jun 22 2021 10:01:42 GMT-0400 (Eastern Daylight Time),1551.8750001210722,3
22,trial,Ja,9,Ja,22,soundFiles/Japanese/normalized/common_voice_ja_19712330.wav,soundFiles/Japanese/normalized/common_voice_ja_20074856.wav,435295,Tue Jun 22 2021 10:01:50 GMT-0400 (Eastern Daylight Time),985.2199999149888,3
23,trial,Sp,41,Ja,11,soundFiles/Spanish/normalized/common_voice_es_18404696.wav,soundFiles/Japanese/normalized/common_voice_ja_19779352.wav,444522,Tue Jun 22 2021 10:01:59 GMT-0400 (Eastern Daylight Time),846.9350000377743,3
24,trial,Ta,1,It,26,soundFiles/Tamil/normalized/common_voice_ta_19083403.wav,soundFiles/Italian/normalized/common_voice_it_17421440.wav,452702,Tue Jun 22 2021 10:02:07 GMT-0400 (Eastern Daylight Time),1063.5750000365076,3
25,trial,En,48,It,13,soundFiles/English/normalized/common_voice_en_3879.wav,soundFiles/Italian/normalized/common_voice_it_17416611.wav,461227,Tue Jun 22 2021 10:02:16 GMT-0400 (Eastern Daylight Time),2427.6150001678616,1
26,trial,Ja,2,Ta,5,soundFiles/Japanese/normalized/common_voice_ja_19485592.wav,soundFiles/Tamil/normalized/common_voice_ta_19093704.wav,471858,Tue Jun 22 2021 10:02:26 GMT-0400 (Eastern Daylight Time),1374.3499999400228,1
