Order,L1,Excerpt1,L2,Excerpt2
1,Ja,18,Ta,36
2,En,40,Ja,38
3,Ta,15,Ta,6
4,Du,30,Ta,17
5,Sp,19,Sp,35
6,Ta,27,Ja,35
7,Ge,27,It,23
8,Ja,43,Ja,31
9,Du,33,Ta,47
10,Sp,46,En,5
11,Ge,42,Ge,45
12,Ja,21,Ta,39
13,It,41,Ja,47
14,Ta,22,En,34
15,Ja,44,Du,3
16,Ge,12,En,7
17,Du,29,Ta,46
18,Sp,22,Ge,31
19,Sp,36,En,47
20,Sp,24,En,10
21,En,9,Du,32
22,Ja,29,Ja,26
23,Ta,48,Du,36
24,Ge,3,En,21
25,Ja,30,It,42
26,Sp,31,It,20
27,Sp,2,Ja,46
28,Ge,4,Du,43
29,En,13,En,19
30,Ge,13,Du,48
31,Ge,1,Ja,9
32,Du,22,Sp,43
33,Ja,14,Du,25
34,Ja,25,En,44
35,Ta,44,Ge,46
36,Ta,18,En,4
37,Ta,38,Ja,8
38,Du,27,Ja,24
39,Du,38,En,17
40,En,27,En,29
41,Du,11,Du,5
42,Ta,3,Ge,14
43,Sp,29,It,44
44,Ge,41,Ta,35
45,Ja,33,Ja,39
46,En,41,En,35
47,It,10,It,3
48,En,1,En,12
49,Sp,5,Ge,19
50,Du,16,En,18
51,Du,18,Ge,15
52,Du,10,Du,41
53,Ge,29,Ja,11
54,It,25,Du,34
55,Du,12,En,14
56,It,16,En,20
57,Sp,17,Du,47
58,Ta,33,En,33
59,Sp,11,Ja,37
60,It,9,Sp,21
61,En,42,En,43
62,Ge,30,Ge,28
63,Sp,9,Ta,29
64,Ta,42,Ja,41
65,En,26,It,40
66,Du,1,Ge,48
67,It,7,It,27
68,Du,6,Ta,11
69,It,1,Ge,20
70,Du,42,Sp,45
71,Ja,19,Ge,7
72,Du,17,Sp,14
73,Ja,10,Ge,5
74,Ta,5,Ta,19
75,Sp,33,Ge,43
76,Sp,15,Ta,40
77,It,35,Ja,12
78,It,18,It,39
79,Du,19,Du,35
80,It,13,Ge,6
81,Ta,21,It,8
82,Sp,10,It,43
83,Ge,39,Sp,30
84,Ta,41,It,36
85,Ta,7,It,26
86,Sp,34,It,14
87,Ta,30,Sp,16
88,Ge,10,Ja,6
89,Ta,34,Du,4
90,Ta,1,It,22
91,It,19,Du,20
92,Ta,23,Ta,31
93,Ta,10,Sp,25
94,Ja,16,Sp,1
95,Du,46,Sp,40
96,En,23,En,46
97,Ta,2,En,16
98,Sp,39,Sp,28
99,Ta,9,Ge,47
100,Ja,13,En,37
101,Du,31,Ge,35
102,Ge,24,Sp,27
103,Ge,22,Ge,44
104,It,32,Ja,42
105,It,12,En,48
106,Ja,2,Ja,7
107,Du,37,Du,28
108,Ja,20,Ta,12
109,Ja,15,En,2
110,It,37,Sp,32
111,It,38,It,2
112,Ge,40,It,45
113,Du,2,Sp,20
114,Ta,13,Ta,20
115,Ge,37,Ta,14
116,Du,24,It,33
117,Ge,38,Ge,25
118,It,47,It,30
119,Ta,45,It,34
120,It,15,Ja,36
121,Ja,22,Ja,5
122,En,30,Ge,26
123,Ta,43,It,6
124,Sp,12,Ja,4
125,Ta,16,Ta,28
126,Du,21,Du,26
127,Ge,34,Ge,17
128,Sp,4,Ja,48
129,Ge,2,Ge,16
130,Du,13,Ge,9
131,En,15,Du,23
132,Ja,27,Sp,44
133,Sp,8,Sp,26
134,Du,44,En,11
135,En,25,Ge,32
136,En,28,Sp,18
137,Ge,23,It,28
138,It,46,It,29
139,Sp,6,Sp,42
140,En,36,It,48
141,Ja,1,Du,7
142,En,32,It,4
143,En,6,Sp,41
144,En,8,Sp,23
145,Du,45,Du,39
146,Ja,45,Du,9
147,En,24,Ja,40
148,Ge,21,Sp,37
149,En,38,It,24
150,Du,15,Ja,3
151,Ge,33,It,11
152,It,31,Du,14
153,Ta,4,Sp,3
154,Ja,32,Ge,36
155,Ta,32,Ge,11
156,En,22,Ja,17
157,Ta,8,Ta,25
158,It,21,Du,40
159,Ja,34,Ja,28
160,En,45,Ta,37
161,Ta,24,En,39
162,It,5,Ja,23
163,Sp,38,Sp,47
164,Du,8,It,17
165,En,31,Ge,8
166,Sp,48,Ta,26
167,En,3,Ge,18
168,Sp,13,Sp,7
